Elevation	Volume
1860	249700
1860.1	250000
1860.2	250200
1860.3	250500
1860.4	250700
1860.5	251000
1860.6	251300
1860.7	251500
1860.8	251800
1860.9	252000
1861	252300
1861.1	252600
1861.2	252800
1861.3	253100
1861.4	253300
1861.5	253600
1861.6	253900
1861.7	254100
1861.8	254400
1861.9	254600
1862	254900
1862.1	255200
1862.2	255400
1862.3	255700
1862.4	255900
1862.5	256200
1862.6	256500
1862.7	256700
1862.8	257000
1862.9	257200
1863	257500
1863.1	257700
1863.2	258000
1863.3	258300
1863.4	258500
1863.5	258800
1863.6	259000
1863.7	259300
1863.8	259600
1863.9	259800
1864	260100
1864.1	260300
1864.2	260600
1864.3	260900
1864.4	261100
1864.5	261400
1864.6	261600
1864.7	261900
1864.8	262200
1864.9	262400
1865	262700
1865.1	262900
1865.2	263200
1865.3	263500
1865.4	263700
1865.5	264000
1865.6	264200
1865.7	264500
1865.8	264800
1865.9	265000
1866	265300
1866.1	265500
1866.2	265800
1866.3	266100
1866.4	266300
1866.5	266600
1866.6	266800
1866.7	267100
1866.8	267400
1866.9	267600
1867	267900
1867.1	268100
1867.2	268400
1867.3	268700
1867.4	268900
1867.5	269200
1867.6	269400
1867.7	269700
1867.8	270000
1867.9	270200
1868	270500
1868.1	270700
1868.2	271000
1868.3	271200
1868.4	271500
1868.5	271800
1868.6	272000
1868.7	272300
1868.8	272500
1868.9	272800
1869	273100
1869.1	273300
1869.2	273600
1869.3	273800
1869.4	274100
1869.5	274400
1869.6	274600
1869.7	274900
1869.8	275100
1869.9	275400
1870	275700
1870.1	275900
1870.2	276200
1870.3	276400
1870.4	276700
1870.5	277000
1870.6	277200
1870.7	277500
1870.8	277700
1870.9	278000
1871	278300
1871.1	278600
1871.2	278800
1871.3	279100
1871.4	279400
1871.5	279700
1871.6	279900
1871.7	280200
1871.8	280500
1871.9	280800
1872	281000
1872.1	281300
1872.2	281600
1872.3	281900
1872.4	282200
1872.5	282400
1872.6	282700
1872.7	283000
1872.8	283300
1872.9	283500
1873	283800
1873.1	284100
1873.2	284400
1873.3	284600
1873.4	284900
1873.5	285200
1873.6	285500
1873.7	285800
1873.8	286000
1873.9	286300
1874	286600
1874.1	286900
1874.2	287100
1874.3	287400
1874.4	287700
1874.5	288000
1874.6	288300
1874.7	288500
1874.8	288800
1874.9	289100
1875	289400
1875.1	289600
1875.2	289900
1875.3	290200
1875.4	290500
1875.5	290700
1875.6	291000
1875.7	291300
1875.8	291600
1875.9	291900
1876	292100
1876.1	292400
1876.2	292700
1876.3	293000
1876.4	293200
1876.5	293500
1876.6	293800
1876.7	294100
