week	FirmFraction
1	-0.102
2	-0.102
3	-0.102
4	-0.104
5	-0.104
6	-0.231
7	-0.231
8	-0.231
9	-0.231
10	-0.227
11	-0.227
12	-0.227
13	-0.227
14	-0.227
15	-0.018
16	-0.018
17	-0.018
18	-0.018
19	0.176
20	0.176
21	0.176
22	0.176
23	0.211
24	0.211
25	0.211
26	0.211
27	0.211
28	0.107
29	0.107
30	0.107
31	0.107
32	0.017
33	0.017
34	0.017
35	0.017
36	-0.05
37	-0.05
38	-0.002
39	-0.002
40	0.113
41	0.113
42	0.113
43	0.113
44	0.113
45	0.007
46	0.007
47	0.007
48	0.007
49	-0.023
50	-0.023
51	-0.023
52	-0.023
