week	NonFirmFraction
1	-0.147
2	-0.147
3	-0.147
4	-0.147
5	-0.147
6	-0.067
7	-0.067
8	-0.067
9	-0.067
10	0.062
11	0.062
12	0.062
13	0.062
14	0.135
15	0.135
16	0.044
17	0.044
18	-0.058
19	-0.058
20	-0.058
21	-0.058
22	-0.058
23	-0.047
24	-0.047
25	-0.047
26	-0.047
27	-0.035
28	0.031
29	-0.035
30	-0.035
31	-0.035
32	0.031
33	0.031
34	0.052
35	0.052
36	0.123
37	0.123
38	0.123
39	0.123
40	0.18
41	0.18
42	0.18
43	0.18
44	0.18
45	0.011
46	0.011
47	0.011
48	0.011
49	-0.152
50	-0.152
51	-0.152
52	-0.152


