week	Draft
1	9107400
2	9107400
3	9107400
4	9107400
5	9107400
6	9107400
7	9107400
8	9107400
9	9107400
10	9107400
11	9107400
12	9107400
13	9107400
14	9005920
15	8904440
16	8802960
17	8701480
18	8600000
19	8657143
20	8714286
21	8771429
22	8828571
23	8885714
24	8942857
25	9000000
26	8600000
27	8200000
28	8200000
29	8200000
30	8200000
31	8200000
32	8200000
33	8200000
34	8200000
35	8200000
36	8200000
37	8200000
38	8200000
39	8200000
40	8200000
41	8200000
42	8200000
43	8200000
44	8200000
45	8200000
46	8200000
47	8200000
48	8200000
49	8200000
50	8200000
51	8200000
52	8200000











