week	GrandCoulee
1	3921900
2	3921900
3	3921900
4	3921900
5	3921900
6	3921900
7	3921900
8	3921900
9	3921900
10	3921900
11	3921900
12	3921900
13	3921900
14	3921900
15	3921900
16	3921900
17	3921900
18	3921900
19	3921900
20	3921900
21	3921900
22	3921900
23	4167335
24	4412769
25	4658204
26	4903638
27	5149073
28	5275172
29	5401271
30	5527370
31	5653469
32	5773915
33	5894361
34	6014807
35	6135254
36	6175815
37	6216377
38	6205072
39	6193766
40	6242837
41	6291908
42	6340979
43	6390050
44	6439121
45	6597352
46	6755584
47	6913815
48	7072046
49	7580885
50	8089723
51	8598562
52	9107400
