week	CRC1	CRC2	CRC3	CRC4
1	9107400	9107400	9107400	9107400
2	9107400	9107400	9107400	9107400
3	9107400	9107400	9107400	9107400
4	9076698	9025623	9025623	9025623
5	9045995	8943846	8943846	8943846
6	9020458	8943846	8943846	8943846
7	8994921	8943846	8943846	8943846
8	8969383	8943846	8943846	8943846
9	8943846	8943846	8943846	8943846
10	8943846	8943846	8943846	8943846
11	8943846	8943846	8943846	8943846
12	8943846	8943846	8943846	8943846
13	8943846	8943846	8943846	8943846
14	8943846	8943846	8943846	8943846
15	8943846	8943846	8943846	8943846
16	8943846	8943846	8943846	8943846
17	8943846	8943846	8943846	8943846
18	8943846	8943846	8943846	8943846
19	8923416	8923416	8923416	8842485
20	8902987	8902987	8902987	8741123
21	8882557	8882557	8882557	8639762
22	8862127	8862127	8862127	8538400
23	8862127	8862127	8862127	7265518
24	8862127	8862127	8862127	5992636
25	8862127	8862127	8862127	4719753
26	8862127	8862127	8862127	3446871
27	8862127	8862127	8862127	2173989
28	8862127	8862127	8862127	2042932
29	8862127	8862127	8862127	1911874
30	8862127	8862127	8862127	1780817
31	8862127	8862127	8862127	1649759
32	8757288	8707782	8726545	0
33	8652450	8553438	8590962	0
34	8547611	8399093	8455380	0
35	8442772	8244748	8319797	0
36	8336161	8178376	8317355	0
37	8229549	8112004	8314913	0
38	7596513	8264434	7839166	0
39	6963476	8416863	7363418	0
40	7048562	8454638	7651299	0
41	7133648	8492413	7939180	0
42	7218733	8530189	8227060	0
43	7303819	8567964	8514941	0
44	7388905	8605739	8802822	0
45	7818529	8731154	8878967	0
46	8248153	8856570	8955111	0
47	8677776	8981985	9031256	0
48	9107400	9107400	9107400	0
49	9107400	9107400	9107400	0
50	9107400	9107400	9107400	0
51	9107400	9107400	9107400	0
52	9107400	9107400	9107400	0
