week	GCFlood1	GCFlood2	GCFlood3	GCFlood4	GCFlood5	GCFlood6	GCFlood7	GCFlood8	GCFlood9	GCFlood10
1	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
2	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
3	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
4	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
5	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
6	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
7	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
8	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
9	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
10	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
11	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
12	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
13	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
14	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
15	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
16	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
17	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
18	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
19	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
20	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
21	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
22	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
23	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8999900
24	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8892500
25	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8785100
26	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8677700
27	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8570300
28	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9035300	8726550	8018550
29	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8963300	8345800	7466800
30	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8891300	7965050	6915050
31	9107400	9107400	9107400	9107400	9107400	9107400	9107400	8819300	7584300	6363300
32	8973050	8973050	8973050	8973050	8973050	8796550	8610800	8131550	6992550	5898800
33	8838800	8838800	8838800	8838800	8838800	8485800	8114300	7443800	6400800	5434300
34	8704550	8704550	8704550	8704550	8704550	8175050	7617800	6756050	5809050	4969800
35	8570300	8570300	8570300	8570300	8570300	7864300	7121300	6068300	5217300	4505300
36	8570300	8529550	8529550	8129550	7982800	7300050	6617050	5752550	4893300	4359300
37	8570300	8488800	8488800	7688800	7395300	6735800	6112800	5436800	4569300	4213300
38	8570300	8448050	8448050	7248050	6807800	6171550	5608550	5121050	4245300	4067300
39	8570300	8407300	8407300	6807300	6220300	5607300	5104300	4805300	3921300	3921300
40	8570300	8407300	8407300	6807300	6220300	5607300	5104300	4805300	3921300	3921300
41	8570300	8407300	8407300	6807300	6220300	5607300	5104300	4805300	3921300	3921300
42	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
43	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
44	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
45	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
46	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
47	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
48	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
49	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
50	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
51	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
52	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400	9107400
