Elevation	Volume
1208	3921900
1208.1	3926600
1208.2	3931400
1208.3	3936100
1208.4	3940800
1208.5	3945500
1208.6	3950300
1208.7	3955000
1208.8	3959700
1208.9	3964500
1209	3969200
1209.1	3973900
1209.2	3978600
1209.3	3983400
1209.4	3988100
1209.5	3992800
1209.6	3997600
1209.7	4002300
1209.8	4007000
1209.9	4011800
1210	4016500
1210.1	4021200
1210.2	4025900
1210.3	4030700
1210.4	4035400
1210.5	4040100
1210.6	4044900
1210.7	4049600
1210.8	4054300
1210.9	4059000
1211	4063800
1211.1	4068500
1211.2	4073200
1211.3	4078000
1211.4	4082700
1211.5	4087400
1211.6	4092100
1211.7	4096900
1211.8	4101600
1211.9	4106300
1212	4111100
1212.1	4115800
1212.2	4120500
1212.3	4125300
1212.4	4130000
1212.5	4134700
1212.6	4139400
1212.7	4144200
1212.8	4148900
1212.9	4153600
1213	4158400
1213.1	4163100
1213.2	4167800
1213.3	4172500
1213.4	4177300
1213.5	4182000
1213.6	4186700
1213.7	4191500
1213.8	4196200
1213.9	4200900
1214	4205600
1214.1	4210400
1214.2	4215100
1214.3	4219800
1214.4	4224600
1214.5	4229300
1214.6	4234000
1214.7	4238700
1214.8	4243500
1214.9	4248200
1215	4252900
1215.1	4257700
1215.2	4262400
1215.3	4267100
1215.4	4271800
1215.5	4276600
1215.6	4281300
1215.7	4286000
1215.8	4290800
1215.9	4295500
1216	4300200
1216.1	4304900
1216.2	4309700
1216.3	4314400
1216.4	4319100
1216.5	4323900
1216.6	4328600
1216.7	4333300
1216.8	4338100
1216.9	4342800
1217	4347500
1217.1	4352200
1217.2	4357000
1217.3	4361700
1217.4	4366400
1217.5	4371200
1217.6	4375900
1217.7	4380600
1217.8	4385300
1217.9	4390100
1218	4394800
1218.1	4399500
1218.2	4404300
1218.3	4409000
1218.4	4413700
1218.5	4418400
1218.6	4423200
1218.7	4427900
1218.8	4432600
1218.9	4437400
1219	4442100
1219.1	4446800
1219.2	4451500
1219.3	4456300
1219.4	4461000
1219.5	4465700
1219.6	4470500
1219.7	4475200
1219.8	4479900
1219.9	4484700
1220	4489400
1220.1	4494100
1220.2	4498800
1220.3	4503600
1220.4	4508300
1220.5	4513700
1220.6	4519000
1220.7	4524400
1220.8	4529700
1220.9	4535100
1221	4540400
1221.1	4545800
1221.2	4551100
1221.3	4556500
1221.4	4561800
1221.5	4567200
1221.6	4572500
1221.7	4577900
1221.8	4583300
1221.9	4588600
1222	4594000
1222.1	4599300
1222.2	4604700
1222.3	4610000
1222.4	4615400
1222.5	4620700
1222.6	4626100
1222.7	4631400
1222.8	4636800
1222.9	4642100
1223	4647500
1223.1	4652900
1223.2	4658200
1223.3	4663600
1223.4	4668900
1223.5	4674300
1223.6	4679600
1223.7	4685000
1223.8	4690300
1223.9	4695700
1224	4701000
1224.1	4706400
1224.2	4711700
1224.3	4717100
1224.4	4722500
1224.5	4727800
1224.6	4733200
1224.7	4738500
1224.8	4743900
1224.9	4749200
1225	4754600
1225.1	4759900
1225.2	4765300
1225.3	4770600
1225.4	4776000
1225.5	4781300
1225.6	4786700
1225.7	4792100
1225.8	4797400
1225.9	4802800
1226	4808100
1226.1	4813500
1226.2	4818800
1226.3	4824200
1226.4	4829500
1226.5	4834900
1226.6	4840200
1226.7	4845600
1226.8	4850900
1226.9	4856300
1227	4861700
1227.1	4867000
1227.2	4872400
1227.3	4877700
1227.4	4883100
1227.5	4888400
1227.6	4893800
1227.7	4899100
1227.8	4904500
1227.9	4909800
1228	4915200
1228.1	4920500
1228.2	4925900
1228.3	4931300
1228.4	4936600
1228.5	4942000
1228.6	4947300
1228.7	4952700
1228.8	4958000
1228.9	4963400
1229	4968700
1229.1	4974100
1229.2	4979400
1229.3	4984800
1229.4	4990100
1229.5	4995500
1229.6	5000900
1229.7	5006200
1229.8	5011600
1229.9	5016900
1230	5022300
1230.1	5027600
1230.2	5033000
1230.3	5038300
1230.4	5043700
1230.5	5049000
1230.6	5054400
1230.7	5059700
1230.8	5065100
1230.9	5070500
1231	5075800
1231.1	5081200
1231.2	5086500
1231.3	5091900
1231.4	5097200
1231.5	5102600
1231.6	5107900
1231.7	5113300
1231.8	5118600
1231.9	5124000
1232	5129300
1232.1	5134700
1232.2	5140100
1232.3	5145400
1232.4	5150800
1232.5	5156100
1232.6	5161500
1232.7	5166800
1232.8	5172200
1232.9	5177500
1233	5182900
1233.1	5188200
1233.2	5193600
1233.3	5199000
1233.4	5204300
1233.5	5209700
1233.6	5215000
1233.7	5220400
1233.8	5225700
1233.9	5231100
1234	5236400
1234.1	5241800
1234.2	5247100
1234.3	5252500
1234.4	5257800
1234.5	5263200
1234.6	5268500
1234.7	5273900
1234.8	5280000
1234.9	5286000
1235	5292100
1235.1	5298100
1235.2	5304200
1235.3	5310300
1235.4	5316300
1235.5	5322400
1235.6	5328500
1235.7	5334500
1235.8	5340600
1235.9	5346600
1236	5352700
1236.1	5358800
1236.2	5364800
1236.3	5370900
1236.4	5376900
1236.5	5383000
1236.6	5389100
1236.7	5395100
1236.8	5401200
1236.9	5407300
1237	5413300
1237.1	5419400
1237.2	5425400
1237.3	5431500
1237.4	5437600
1237.5	5443600
1237.6	5449700
1237.7	5455700
1237.8	5461800
1237.9	5467900
1238	5473900
1238.1	5480000
1238.2	5486000
1238.3	5492100
1238.4	5498200
1238.5	5504200
1238.6	5510300
1238.7	5516400
1238.8	5522400
1238.9	5528500
1239	5534500
1239.1	5540600
1239.2	5546700
1239.3	5552700
1239.4	5558800
1239.5	5564900
1239.6	5570900
1239.7	5577000
1239.8	5583000
1239.9	5589100
1240	5595200
1240.1	5601200
1240.2	5607300
1240.3	5613300
1240.4	5619400
1240.5	5625500
1240.6	5631500
1240.7	5637600
1240.8	5643700
1240.9	5649700
1241	5655800
1241.1	5661800
1241.2	5667900
1241.3	5674000
1241.4	5680000
1241.5	5686100
1241.6	5692100
1241.7	5698200
1241.8	5704300
1241.9	5710300
1242	5716400
1242.1	5722400
1242.2	5728500
1242.3	5734600
1242.4	5740600
1242.5	5746700
1242.6	5752800
1242.7	5758800
1242.8	5764900
1242.9	5770900
1243	5777000
1243.1	5788400
1243.2	5799900
1243.3	5811400
1243.4	5822800
1243.5	5825100
1243.6	5827500
1243.7	5829800
1243.8	5832100
1243.9	5834500
1244	5836800
1244.1	5839100
1244.2	5841400
1244.3	5843800
1244.4	5846100
1244.5	5848400
1244.6	5850800
1244.7	5853100
1244.8	5855400
1244.9	5857800
1245	5860100
1245.1	5869400
1245.2	5878700
1245.3	5888000
1245.4	5897300
1245.5	5906600
1245.6	5915900
1245.7	5925200
1245.8	5934500
1245.9	5943700
1246	5953000
1246.1	5962300
1246.2	5971600
1246.3	5980900
1246.4	5990200
1246.5	5999500
1246.6	6008800
1246.7	6015100
1246.8	6021400
1246.9	6027700
1247	6033900
1247.1	6040200
1247.2	6046500
1247.3	6052800
1247.4	6059100
