time	ModChiefJosephFlowData
1	6092750
2	3342710
3	2704460
4	2090740
5	1661650
6	1253790
7	1088920
8	1849280
9	2646430
10	10683300
11	15733400
12	7752620
13	5194580
14	2801410
15	1837850
16	1266890
17	1503740
18	869290
19	1569400
20	1749170
21	6926680
22	10243400
23	13512100
24	9854710
25	5896790
26	3387700
27	2023000
28	1686500
29	1362680
30	1328210
31	1372700
32	2240370
33	3785270
34	12399800
35	12712100
36	8159300
37	4731530
38	3506170
39	2123000
40	1941140
41	1583590
42	1463060
43	1493230
44	4263020
45	8476370
46	18658100
47	20052300
48	10556200
49	6160580
50	3050220
51	2429390
52	3062050
53	2940590
54	2274610
55	1414770
56	2434390
57	5615220
58	14990100
59	25970600
60	16142400
61	7588750
62	4056550
63	3929670
64	5141690
65	6962340
66	6049840
67	3728090
68	4980560
69	14546800
70	20222000
71	15122800
72	8749260
73	5345020
74	2980480
75	2515980
76	3824670
77	2586140
78	2560750
79	2696630
80	2922790
81	4939290
82	14713300
83	18927300
84	13570000
85	6086440
86	3420690
87	2213970
88	1685840
89	1494110
90	1522500
91	928010
92	2105680
93	8124110
94	18470700
95	15308200
96	8072070
97	4998430
98	2746780
99	1877850
100	1310600
101	1357440
102	876694
103	993270
104	1490320
105	3305580
106	11748300
107	14637900
108	9294260
109	4766370
110	3129330
111	2519550
112	3204850
113	2433320
114	2699650
115	1744680
116	3471650
117	8154330
118	16912800
119	20043900
120	10838000
121	4299920
122	3596050
123	2472890
124	1870630
125	1675910
126	1796410
127	1243220
128	2452810
129	7095880
130	17172700
131	12438000
132	10028200
133	5334460
134	2889030
135	2753380
136	2390970
137	2604230
138	1654160
139	1925370
140	3681630
141	6835820
142	14248300
143	12868400
144	8120100
145	4573760
146	3748080
147	3341320
148	2053710
149	1998700
150	1836030
151	1545730
152	2979620
153	5836900
154	10798900
155	10687700
156	7224960
157	4469470
158	4216380
159	4572240
160	3507480
161	5074260
162	2390630
163	1964660
164	2193180
165	6194990
166	13139800
167	16112900
168	12474300
169	6030580
170	2880190
171	2266680
172	2180840
173	2086120
174	1581050
175	1664850
176	2198460
177	11988000
178	12752200
179	17616500
180	15035100
181	5964430
182	2711230
183	2447290
184	1784920
185	1623130
186	1428450
187	1227000
188	1496700
189	3073280
190	9613850
191	11555300
192	6120230
193	4520740
194	3248930
195	2655660
196	2193010
197	1493590
198	1805450
199	1670990
200	2187920
201	2909470
202	14369900
203	16669000
204	9149170
205	4332360
206	2702420
207	2073100
208	2348200
209	2161780
210	2216700
211	1662660
212	2983680
213	8175780
214	21525600
215	19845400
216	11587900
217	5481190
218	3460440
219	2343520
220	2471510
221	3401880
222	2252130
223	2568920
224	3671370
225	7614810
226	19993900
227	17548600
228	10854100
229	5084360
230	3472880
231	5517540
232	3860810
233	2755310
234	2630470
235	2012870
236	2364930
237	6613600
238	23402200
239	28587400
240	10278100
241	7105370
242	3681530
243	2864260
244	2288910
245	1696960
246	1396190
247	1853140
248	3121190
249	8121520
250	20415300
251	12599100
252	6897600
253	4672310
254	2759280
255	2114050
256	2684190
257	2666130
258	1946580
259	2194250
260	4221520
261	6066440
262	14345100
263	26079800
264	17785600
265	6627820
266	3493170
267	3551530
268	3826780
269	4333540
270	3456530
271	4467850
272	3179140
273	8072250
274	22055500
275	17420900
276	15163800
277	6097940
278	3503280
279	4563190
280	2999230
281	2736220
282	2234530
283	2252240
284	2518960
285	9808090
286	20080000
287	16307600
288	10749300
289	5510650
290	2840770
291	2115970
292	1526950
293	1619110
294	2753450
295	2835350
296	2553020
297	4351390
298	14693700
299	21688000
300	13210700
301	6271020
302	3475730
303	2997970
304	2831030
305	2503470
306	2182080
307	2525070
308	3043430
309	5096080
310	20261000
311	22229800
312	20538500
313	8782020
314	5482700
315	3380010
316	3741780
317	2834060
318	2073810
319	1839040
320	1899640
321	3761050
322	11202900
323	23567600
324	16680200
325	6227470
326	3380200
327	3594030
328	3746990
329	3863010
330	3131120
331	1942490
332	3375020
333	11217400
334	23579200
335	22944600
336	12380600
337	5736350
338	3366900
339	3110290
340	2254720
341	2404110
342	1661470
343	1964310
344	3019490
345	5118210
346	25546900
347	16683600
348	7937960
349	4365790
350	2885130
351	2499910
352	2068990
353	1948510
354	1984980
355	2929030
356	3300500
357	6015710
358	21243300
359	16881100
360	7960540
361	4853620
362	3186400
363	3199330
364	3081970
365	3093750
366	3699680
367	2267780
368	2980590
369	7209090
370	16816200
371	24915500
372	15096700
373	6151890
374	6291690
375	5771400
376	4896600
377	3659810
378	2408680
379	2497920
380	3740700
381	9120500
382	13180400
383	19381300
384	13076100
385	5620020
386	3680160
387	3027940
388	2926740
389	2054330
390	2173710
391	4209270
392	3923300
393	5925830
394	20338700
395	26421700
396	8885980
397	5423180
398	2910630
399	3161610
400	2141920
401	1972810
402	1850480
403	2384450
404	2383920
405	8602250
406	14383200
407	18362500
408	10282000
409	6213970
410	3190770
411	3242800
412	3397150
413	3360970
414	2412500
415	3550830
416	3228780
417	5800870
418	13282200
419	17132000
420	10799300
421	5585110
422	3891220
423	2544450
424	2391970
425	2051340
426	1912560
427	1607860
428	1975060
429	4248450
430	14247900
431	25981500
432	14935500
433	6442120
434	4152320
435	4171680
436	3189250
437	3607120
438	2886370
439	2777290
440	3251120
441	8508860
442	16180200
443	21056200
444	11664900
445	7220480
446	3443630
447	3295420
448	3094750
449	2354860
450	2280410
451	1754100
452	3001970
453	6902550
454	15386800
455	18374000
456	12163900
457	5834410
458	3464430
459	2564180
460	2445060
461	2903270
462	2898730
463	2751840
464	3003780
465	4001540
466	15211500
467	29440800
468	15116800
469	6447770
470	3852810
471	2966000
472	2897590
473	2120360
474	2260690
475	3167970
476	4764120
477	3900350
478	13709800
479	20411600
480	13576100
481	6738960
482	5203420
483	4113450
484	3867560
485	3094190
486	3017920
487	2377640
488	3349330
489	11764500
490	21105600
491	20052600
492	10702600
493	5029220
494	3472610
495	3129940
496	2576370
497	2103510
498	2109510
499	2268320
500	2646200
501	3455410
502	13618200
503	19026000
504	8856850
505	4980170
506	2588890
507	2217550
508	2010820
509	1959480
510	2483780
511	4008010
512	2964090
513	6720890
514	22257700
515	22220500
516	12670500
517	7581550
518	3752990
519	2810250
520	2266400
521	1962930
522	2054270
523	2401710
524	7408380
525	6089260
526	20433600
527	29258700
528	15477400
529	8362560
530	3835490
531	3141110
532	2298250
533	2192010
534	2280540
535	1675710
536	2810500
537	3609200
538	11860200
539	13364700
540	8606270
541	4697520
542	2584750
543	2431370
544	3432030
545	3971170
546	6498910
547	3833110
548	4160440
549	9674450
550	16803000
551	30443200
552	16596600
553	7541120
554	3784110
555	2209410
556	2281120
557	1927630
558	1855100
559	1798960
560	2966660
561	4012100
562	14791300
563	22226400
564	14161500
565	5918390
566	3805560
567	3462640
568	3982600
569	4686910
570	3071010
571	2817870
572	2817300
573	7138310
574	20602100
575	16568300
576	16196400
577	11160500
578	6341610
579	2876960
580	1893500
581	1597090
582	1728280
583	1429920
584	1654200
585	3571650
586	9393720
587	11120500
588	6006620
589	5208830
590	3001730
591	2095670
592	2206540
593	3473550
594	2422440
595	2036330
596	3732920
597	7742690
598	14839000
599	18116600
600	12949800
601	6215990
602	6092110
603	3634270
604	2666420
605	1791120
606	1605780
607	1871920
608	3217380
609	4258800
610	15211900
611	13691200
612	8666850
613	4836720
614	3275260
615	2126300
616	1314610
617	1968850
618	1425000
619	1754820
620	2768620
621	7886060
622	20296500
623	14236900
624	8178620
625	4571450
626	3494890
627	3025090
628	2958250
629	4402150
630	3809430
631	3211110
632	3417920
633	5630040
634	18116000
635	17642100
636	14394400
637	7828870
638	3795980
639	3117580
640	3082420
641	2424640
642	1947550
643	4265820
644	4655660
645	5197120
646	16072900
647	24074600
648	14556500
649	7165370
650	4800970
651	3333960
652	2688730
653	2391560
654	2955360
655	3094690
656	5845680
657	6547230
658	14899800
659	16843800
660	13054100
661	6643960
662	3508370
663	2628380
664	4438590
665	2318210
666	3347340
667	2522870
668	3736200
669	6537320
670	10297200
671	19612200
672	12307800
673	6174070
674	3537080
675	2464340
676	2427500
677	1770830
678	1399480
679	1303090
680	2140180
681	6389300
682	16714900
683	14600200
684	7587690
685	3996710
686	3258250
687	3400860
688	3696880
689	2151350
690	1891030
691	2607130
692	5951250
693	7085590
694	13253500
695	18224000
696	9273030
697	5024650
698	2839460
699	2558210
700	2607100
701	2051430
702	1595230
703	1581460
704	4315240
705	6660280
706	16165400
707	11826300
708	7200340
709	4088570
710	2675590
711	1461350
712	1487510
713	1653770
714	1327030
715	1285170
716	2234910
717	7416280
718	12975400
719	13929600
720	7700130
721	4339030
722	2569160
723	2867520
724	2908210
725	2054090
726	1833130
727	1416230
728	2922380
729	7900730
730	14986200
731	16090200
732	8372340
733	5680840
734	3252680
735	2339810
736	4559670
737	3558640
738	3385560
739	2338930
740	3152010
741	9818000
742	13535200
743	21672300
744	13517300
745	6307160
746	3009970
747	2422820
748	5144410
749	3339820
750	2648780
751	3544780
752	3322320
753	7432200
754	17931200
755	19897500
756	15823300
757	7766010
758	3404630
759	2019860
760	1963940
761	1872480
762	1782290
763	2301240
764	3587680
765	6039120
766	12979600
767	12081600
768	7003390
769	4004780
770	2508800
771	2764640
772	2276340
773	1652960
774	1516420
775	1232190
776	2621770
777	5338590
778	17318600
779	11151100
780	8672940
781	5551210
782	3114520
783	2234120
784	1685890
785	1839920
786	1844800
787	1290110
788	2734030
789	8319400
790	14210500
791	12591300
792	8524570
793	4304570
794	2399850
795	1806090
796	1550060
797	1894350
798	2254060
799	3970630
800	5152970
801	4989240
802	13184800
803	18491700
804	9951770
805	5632570
806	3432320
807	3908850
808	5366670
809	6986450
810	3788870
811	5794940
812	4718720
813	10273400
814	15412900
815	22419500
816	15461800
817	6676660
818	3534880
819	3043230
820	2621470
821	2527560
822	3511800
823	2801620
824	5536180
825	9118200
826	24590900
827	26404400
828	14470500
829	6812350
830	4953180
831	5663310
832	3768340
833	2613510
834	2433030
835	2525770
836	3818360
837	6359730
838	19546700
839	13857800
840	9259290
841	4979290
842	2947700
843	1985550
844	2324840
845	2681300
846	3049710
847	2482900
848	4544940
849	7320540
850	14691600
851	22130100
852	15704100
853	9412890
854	3636630
