time	ModRockIslandFlowData
1	6748070
2	3686940
3	3031040
4	2368950
5	1883300
6	1441270
7	1200480
8	1981010
9	2734700
10	11301500
11	17384300
12	8606620
13	5482230
14	3037870
15	2083410
16	1469560
17	1652780
18	1065260
19	1731650
20	1973380
21	7403690
22	11202500
23	14658500
24	10531600
25	6189740
26	3660640
27	2135400
28	1792750
29	1426990
30	1417710
31	1495920
32	2329950
33	3957890
34	13507100
35	13514800
36	8561830
37	5020020
38	3698990
39	2192790
40	2080510
41	1677210
42	1624370
43	1681140
44	4688950
45	8883160
46	19737600
47	21387400
48	11186600
49	6366490
50	3234270
51	2534590
52	3533920
53	3333550
54	2532900
55	1585080
56	2543870
57	5792750
58	15651300
59	28296100
60	18003200
61	8019310
62	4297930
63	4346850
64	5883080
65	7536680
66	6518770
67	4166180
68	5670370
69	16369200
70	22265600
71	16491600
72	9101290
73	5513710
74	3149470
75	2710360
76	4305880
77	2919130
78	2957790
79	3231370
80	3271750
81	5217700
82	15784700
83	20777800
84	14381000
85	6559310
86	3639370
87	2396460
88	1857060
89	1633320
90	1654860
91	1004540
92	2229250
93	8325140
94	19560100
95	16478700
96	8217310
97	5030720
98	2892270
99	2011490
100	1415330
101	1487750
102	1010350
103	1092730
104	1639810
105	3462370
106	12401500
107	16593700
108	9785190
109	4856620
110	3289310
111	2680830
112	3445940
113	2685050
114	2919190
115	1908340
116	3688000
117	8539800
118	18271200
119	21199800
120	11285000
121	4474770
122	3684170
123	2659940
124	2025650
125	1850900
126	2014000
127	1355070
128	2566460
129	7392540
130	17820400
131	13096900
132	10296200
133	5427560
134	3019460
135	2880800
136	2660700
137	2907900
138	1841620
139	1998100
140	3874620
141	7292060
142	15277900
143	13412600
144	8261540
145	4706010
146	3833350
147	3549160
148	2297540
149	2172040
150	1973360
151	1670240
152	3255520
153	6636100
154	11405300
155	11358200
156	7533770
157	4596430
158	4405720
159	4970300
160	3833810
161	5415470
162	2699260
163	2201670
164	2361000
165	6754000
166	14258100
167	17127200
168	12759500
169	6323170
170	3068070
171	2548090
172	2475730
173	2431050
174	1904320
175	1938060
176	2474000
177	12859700
178	14162900
179	19858200
180	16845500
181	6785790
182	3054710
183	2730030
184	2033290
185	1916420
186	1615890
187	1463870
188	1772250
189	3444340
190	10603700
191	12919300
192	6820560
193	4899260
194	3515150
195	2916780
196	2461240
197	1757900
198	2172040
199	2002370
200	2455810
201	3240510
202	15441100
203	18640500
204	9821020
205	4673670
206	2959980
207	2360210
208	2704980
209	2395390
210	2505550
211	1848570
212	3223230
213	8549170
214	23496300
215	21483800
216	12669300
217	5927610
218	3787120
219	2668080
220	2703390
221	3722440
222	2491830
223	2838960
224	4087160
225	8399130
226	21958600
227	19043500
228	11538700
229	5402540
230	3725320
231	5793920
232	4329330
233	3086110
234	2850010
235	2258700
236	2564070
237	6822550
238	24732000
239	32371900
240	11979100
241	7972490
242	4329280
243	3386980
244	2718730
245	2022460
246	1653440
247	2127220
248	3477730
249	8881050
250	23352000
251	15018300
252	7956430
253	5189090
254	3105320
255	2404060
256	3293790
257	3258940
258	2205310
259	2435270
260	4606270
261	6615600
262	16068000
263	28913700
264	19612600
265	7693970
266	3956640
267	3971820
268	4439550
269	4915810
270	4099050
271	5101540
272	3768230
273	9132490
274	24395400
275	19451500
276	16184800
277	6791410
278	3918860
279	4936290
280	3436950
281	3070260
282	2518320
283	2533120
284	2862890
285	10381100
286	21383300
287	17430000
288	11359700
289	5788230
290	2909200
291	2171160
292	1555490
293	1648860
294	2947890
295	3074810
296	2737770
297	4691420
298	16264200
299	23304800
300	14466500
301	6663700
302	3655080
303	3260240
304	3124400
305	2796550
306	2380780
307	2736530
308	3255850
309	5472410
310	21820400
311	24247800
312	22411200
313	9544220
314	6033470
315	3732420
316	4320490
317	3320830
318	2352210
319	2102670
320	2227920
321	4169280
322	12236700
323	26378400
324	18954400
325	7279630
326	3752960
327	3949290
328	4495020
329	4195980
330	3414560
331	2132590
332	3640480
333	12227100
334	26387500
335	26292000
336	13988100
337	6344860
338	3684140
339	3460170
340	2612350
341	2904600
342	1902460
343	2208310
344	3249080
345	5575140
346	28166600
347	18429100
348	8630630
349	4712560
350	3036710
351	2655600
352	2251220
353	2134150
354	2138440
355	3112580
356	3632290
357	6571920
358	23495600
359	18493500
360	8579640
361	5129720
362	3343310
363	3493250
364	3478160
365	3624150
366	4133180
367	2600660
368	3465500
369	8109380
370	18783400
371	27571300
372	16832700
373	6816790
374	6728650
375	6571040
376	5750360
377	4535320
378	2732370
379	2842890
380	4029500
381	10151300
382	14665200
383	21413800
384	14289000
385	6161640
386	3895980
387	3239440
388	3184430
389	2214070
390	2387860
391	4466960
392	4387350
393	6608010
394	22047200
395	29320900
396	9806170
397	5680730
398	3055160
399	3397170
400	2380110
401	2248100
402	2184840
403	2689250
404	2608460
405	9336170
406	15376900
407	20019100
408	11201500
409	6588940
410	3380050
411	3483430
412	3827290
413	3741380
414	2683370
415	3911040
