time	ModRockyReachFlowData
1	6493760
2	3533180
3	2899930
4	2240010
5	1770850
6	1328740
7	1118400
8	1925540
9	2704060
10	11158500
11	16856100
12	8279400
13	5369340
14	2909140
15	1947930
16	1348280
17	1564270
18	962965
19	1679280
20	1907220
21	7285850
22	10910700
23	14289800
24	10277900
25	6053920
26	3531870
27	2067260
28	1725740
29	1365390
30	1362340
31	1450430
32	2306380
33	3917610
34	13198100
35	13232400
36	8404320
37	4877930
38	3592540
39	2127710
40	2010630
41	1624690
42	1567070
43	1626550
44	4556400
45	8767400
46	19362800
47	20914300
48	10953700
49	6281310
50	3143320
51	2467190
52	3387450
53	3163470
54	2429690
55	1491240
56	2473290
57	5750230
58	15457900
59	27456000
60	17317900
61	7856310
62	4198970
63	4178970
64	5589960
65	7317160
66	6315610
67	3967790
68	5447480
69	15758500
70	21507300
71	15995400
72	8964710
73	5430950
74	3055580
75	2607350
76	4151940
77	2799440
78	2809340
79	2983490
80	3120870
81	5128360
82	15456700
83	20114900
84	14083600
85	6363740
86	3529050
87	2288390
88	1753590
89	1539150
90	1578100
91	949176
92	2186900
93	8301720
94	19281100
95	16079800
96	8153630
97	4984920
98	2798550
99	1919780
100	1329860
101	1405710
102	932130
103	1037570
104	1580630
105	3406260
106	12234900
107	16022600
108	9601030
109	4789480
110	3194550
111	2586020
112	3333520
113	2575400
114	2826240
115	1840290
116	3608490
117	8438490
118	17844400
119	20798600
120	11112700
121	4375890
122	3618900
123	2551120
124	1926970
125	1751010
126	1932250
127	1306810
128	2519330
129	7315990
130	17669400
131	12905600
132	10195500
133	5364190
134	2931390
135	2795020
136	2525940
137	2768780
138	1741800
139	1962960
140	3803670
141	7158720
142	15006100
143	13255800
144	8193710
145	4621730
146	3768670
147	3450120
148	2170420
149	2093460
150	1906640
151	1612610
152	3160460
153	6404180
154	11256500
155	11123700
156	7407920
157	4520590
158	4314530
159	4833060
160	3714370
161	5289300
162	2561980
163	2094460
164	2285520
165	6570760
166	13885900
167	16769900
168	12648000
169	6198990
170	2967990
171	2403980
172	2340430
173	2294670
174	1762720
175	1820490
176	2348720
177	12586400
178	13708800
179	19071800
180	16178800
181	6461770
182	2894320
183	2586900
184	1898800
185	1774170
186	1518310
187	1377520
188	1676270
189	3336790
190	10314800
191	12475100
192	6557620
193	4735770
194	3386510
195	2784430
196	2325940
197	1625530
198	2025170
199	1893460
200	2364380
201	3119310
202	15131500
203	17954200
204	9565400
205	4521000
206	2826730
207	2222830
208	2552460
209	2292790
210	2378160
211	1750540
212	3116540
213	8420320
214	22907200
215	20914100
216	12266000
217	5740530
218	3629610
219	2511700
220	2585870
221	3584320
222	2372470
223	2723630
224	3930050
225	8144900
226	21335000
227	18525300
228	11283700
229	5253480
230	3596760
231	5697630
232	4154010
233	2950690
234	2734860
235	2140290
236	2469920
237	6751980
238	24344500
239	30995000
240	11354800
241	7633960
242	4059350
243	3171140
244	2529760
245	1862390
246	1511300
247	1998410
248	3337240
249	8629080
250	22401800
251	14159900
252	7560920
253	4976070
254	2947310
255	2261060
256	3081450
257	3047220
258	2077210
259	2325050
260	4453660
261	6417480
262	15444000
263	27955800
264	18937600
265	7295700
266	3772540
267	3821030
268	4215500
269	4698230
270	3848940
271	4816220
272	3517960
273	8755860
274	23568300
275	18734600
276	15806800
277	6528560
278	3740700
279	4807590
280	3246080
281	2915060
282	2340090
283	2401390
284	2712420
285	10162800
286	20972300
287	17050100
288	11127300
289	5663990
290	2841870
291	2113140
292	1494420
293	1602080
294	2849640
295	2963110
296	2631170
297	4544150
298	15730300
299	22775900
300	13984600
301	6500560
302	3552550
303	3132580
304	2980670
305	2645020
306	2267020
307	2625690
308	3137860
309	5326780
310	21289300
311	23519900
312	21677900
313	9233900
314	5797030
315	3553350
316	4076680
317	3095550
318	2200280
319	1961460
320	2053580
321	3988860
322	11890800
323	25397900
324	18051200
325	6843230
326	3572100
327	3798410
328	4225150
329	4039190
330	3275880
331	1998330
332	3493050
333	11866700
334	25343100
335	24986100
336	13348700
337	6093500
338	3532680
339	3291400
340	2435490
341	2682890
342	1765760
343	2071240
344	3128470
345	5405800
346	27298900
347	17743000
348	8348170
349	4569220
350	2939250
351	2553460
352	2138430
353	2020750
354	2035860
355	3024630
356	3474090
357	6356990
358	22776400
359	17887000
360	8327380
361	5017180
362	3242210
363	3348870
364	3305180
365	3414630
366	3939150
367	2406270
368	3236470
369	7783210
370	18069500
371	26578100
372	16140800
373	6548440
374	6548330
375	6249740
376	5406360
377	4170660
378	2554830
379	2668660
380	3881110
381	9756060
382	14133200
383	20643100
384	13800400
385	5945610
386	3769890
387	3184600
388	3104140
389	2177730
390	2200920
391	4255810
392	3964750
393	6420900
394	21441000
395	28874000
396	9398300
397	5536060
398	2980900
399	3234210
400	2248890
401	2069530
402	1969000
403	2667030
404	2412730
405	8984290
406	14952600
407	19326400
408	10725300
409	6315320
410	3179940
411	3457790
412	3688850
413	3720090
414	2468990
415	3820150
416	3390530
417	6031660
418	14287200
419	18120300
420	11366000
421	5904880
422	3973810
423	2726910
424	2608850
425	2277660
426	2128860
427	1500650
428	1989790
429	4376560
430	14846500
431	27970100
432	15815300
433	6812320
434	4032450
435	4285570
436	3388300
437	3779200
438	3069300
439	2862210
440	3243210
441	8815690
442	17099800
443	22276500
444	12107300
445	7532050
446	3487690
447	3321930
448	3139150
449	2280810
450	2308960
451	1755790
452	2924080
453	7300630
454	16372400
455	19180600
456	12702500
457	6185410
458	3767120
459	2845770
460	2646120
461	3066430
462	3015650
463	2865080
464	3169450
465	4269130
466	16377100
467	31933500
468	15423800
469	6521780
470	3926920
471	3158930
472	3197930
473	2271210
474	2491980
475	3398470
476	5041060
477	3858010
478	14598200
479	21875200
