time	ModWellsFlowData
1	6340500
2	3491680
3	2833900
4	2222840
5	1779530
6	1371740
7	1171830
8	1905160
9	2669310
10	10847700
11	16246600
12	8042870
13	5334800
14	2924370
15	1974220
16	1390720
17	1594430
18	974046
19	1623040
20	1817340
21	7044830
22	10535200
23	13877700
24	10096000
25	6020660
26	3511550
27	2090080
28	1754600
29	1425450
30	1385010
31	1419150
32	2264450
33	3823860
34	12709500
35	12989300
36	8302290
37	4862130
38	3607210
39	2186890
40	2012470
41	1637260
42	1521570
43	1549930
44	4398720
45	8592370
46	19034800
47	20525600
48	10777700
49	6232660
50	3135580
51	2495630
52	3211590
53	3114640
54	2380380
55	1510610
56	2507020
57	5656160
58	15180900
59	26820500
60	16828900
61	7741650
62	4150120
63	4099100
64	5445400
65	7187000
66	6258170
67	3931330
68	5210270
69	15170000
70	20993700
71	15619600
72	8872760
73	5415630
74	3069020
75	2619060
76	3983290
77	2708400
78	2712480
79	2950880
80	3077650
81	5028330
82	15042300
83	19595700
84	13859000
85	6273550
86	3526010
87	2322110
88	1791240
89	1590260
90	1600730
91	984821
92	2148810
93	8145320
94	18750500
95	15705100
96	8121040
97	5032130
98	2835740
99	1968840
100	1397370
101	1441110
102	956435
103	1049560
104	1550870
105	3360060
106	11912000
107	15212600
108	9467710
109	4822260
110	3219210
111	2614390
112	3318640
113	2545240
114	2794150
115	1814040
116	3552840
117	8255610
118	17343700
119	20444200
120	10999600
121	4388880
122	3655940
123	2581550
124	1970510
125	1777830
126	1879620
127	1292150
128	2501050
129	7171600
130	17320300
131	12622700
132	10116900
133	5387420
134	2972210
135	2838390
136	2528580
137	2746100
138	1756140
139	1960850
140	3754320
141	6969380
142	14520900
143	13017200
144	8175600
145	4648760
146	3807320
147	3439700
148	2183600
149	2078390
150	1903730
151	1604540
152	3077300
153	6071640
154	10944200
155	10917100
156	7340640
157	4535880
158	4303460
159	4710090
160	3628300
161	5202870
162	2531010
163	2073940
164	2270160
165	6379960
166	13514900
167	16469000
168	12575200
169	6147620
170	2976290
171	2411300
172	2318170
173	2224830
174	1725790
175	1784900
176	2327100
177	12264900
178	13212000
179	18412400
180	15707100
181	6287180
182	2869570
183	2590930
184	1921360
185	1768660
186	1527350
187	1315160
188	1594700
189	3180860
190	9902970
191	11999800
192	6378580
193	4678640
194	3374930
195	2788020
196	2330690
197	1628460
198	1955480
199	1782050
200	2281280
201	3030700
202	14681300
203	17362200
204	9400110
205	4479310
206	2833480
207	2210680
208	2503850
209	2266350
210	2346170
211	1762450
212	3092920
213	8304850
