week	VernitaBarFlowTarget
1	50000
2	50000
3	50000
4	70000
5	70000
6	70000
7	70000
8	70000
9	70000
10	70000
11	70000
12	70000
13	70000
14	70000
15	70000
16	70000
17	70000
18	50000
19	50000
20	50000
21	50000
22	50000
23	50000
24	50000
25	50000
26	50000
27	50000
28	50000
29	50000
30	50000
31	50000
32	50000
33	50000
34	50000
35	50000
36	50000
37	135000
38	135000
39	135000
40	135000
41	135000
42	135000
43	135000
44	135000
45	135000
46	135000
47	135000
48	135000
49	50000
50	50000
51	50000
52	50000
