week	HHInQAprAug	HH_Target
1	90		3200
2	190		3200
3	290		3200
4	390		3200
5	490		3200
6	590		3200
7	690		3200
8	790		3200
9	890		3200
10	990		3200
11	1090	3200
12	1190	3200
13	1290	3250
14	1390	3300
15	1490	3350
16	1590	3400
17	1690	3450
18	1790	3500
19	1890	3500
20	1990	3500
21	2090	3500
22	2190	3500
23	2290	3500
24	2390	3500
25	2490	3500
26	2590	3500
27	2690	3500
28	2790	3500
29	2890	3500
30	2990	3500
31	3090	3500
32	3190	3500
33	3290	3500
34	3390	3500
35	3490	3500
36	3590	3500
37	3690	3500
38	3790	3500
39	3890	3500
40	3990	3500
41	4090	3500
42	4190	3500
43	4290	3500
44	4390	3500
45	4490	3500
46	4590	3500
47	4690	3500
48	4790	3500
49	4890	3500
50	4990	3500
51	5090	3500
52	5190	3500
53	5290	3500
54	5390	3500
55	5490	3500
56	5590	3500
57	5690	3500
58	5790	3500
59	5890	3500
60	5990	3500
61	6090	3500
62	6190	3500
63	6290	3500
64	6390	3500
65	6490	3500
66	6590	3500
67	6690	3500
68	6790	3500
69	6890	3500
70	6990	3500
71	7090	3500
72	7190	3500
73	7290	3500
74	7390	3500
75	7490	3500
76	7590	3500
77	7690	3500
78	7790	3500
79	7890	3500
80	7990	3500
81	8090	3500
82	8190	3500
83	8290	3500
84	8390	3500
85	8490	3500
86	8590	3500
87	8690	3500
88	8790	3500
89	8890	3500
90	8990	3500
91	9090	3500
92	9190	3500
93	9290	3500
