week	HungryHorse
1	1983116
2	1983116
3	1983116
4	1985695
5	1988273
6	1989562
7	1990852
8	1992141
9	1993430
10	1999856
11	2006283
12	2012709
13	2019136
14	2025562
15	2034537
16	2043513
17	2052488
18	2061463
19	2066967
20	2072471
21	2077975
22	2083480
23	2087089
24	2090699
25	2094309
26	2097919
27	2101529
28	2106438
29	2111347
30	2116256
31	2121165
32	2133463
33	2145760
34	2158058
35	2170356
36	2202389
37	2234422
38	2275033
39	2315645
40	2445721
41	2575796
42	2705872
43	2835948
44	2966024
45	2992380
46	3018735
47	3045090
48	3071446
49	3071446
50	3071446
51	3071446
52	3071446





