week	HungryHorse
1	1992634
2	1992634
3	1992634
4	1994569
5	1996503
6	1997445
7	1998387
8	1999329
9	2000271
10	2004998
11	2009725
12	2014452
13	2019180
14	2023907
15	2030529
16	2037151
17	2043773
18	2050396
19	2054440
20	2058485
21	2062530
22	2066575
23	2069232
24	2071889
25	2074547
26	2077204
27	2079861
28	2082874
29	2085887
30	2088901
31	2091914
32	2100045
33	2108177
34	2116308
35	2124439
36	2147158
37	2169877
38	2180157
39	2190437
40	2344461
41	2498485
42	2652509
43	2806533
44	2960557
45	2988124
46	3015691
47	3043258
48	3070825
49	3070994
50	3071162
51	3071331
52	3071500



