week	HHAssuredRefill
1	3468000
2	3276845
3	3085690
4	2894535
5	2703380
6	2681660
7	2659940
8	2638220
9	2616500
10	2605194
11	2593888
12	2582582
13	2571276
14	2559970
15	2545590
16	2531210
17	2516830
18	2502450
19	2476368
20	2450285
21	2424203
22	2398120
23	2376144
24	2354168
25	2332192
26	2310216
27	2288240
28	2268753
29	2249265
30	2229778
31	2210290
32	2197495
33	2184700
34	2171905
35	2159110
36	2206070
37	2253030
38	2299990
39	2346950
40	2490434
41	2633918
42	2777402
43	2920886
44	3064370
45	3165278
46	3266185
47	3367093
48	3468000
49	3468000
50	3468000
51	3468000
52	3468000
