week	High	Low
1	2979346	2891308
2	2960915	2855269
3	2942485	2819231
4	2924054	2783192
5	2905623	2747154
6	2887192	2711115
7	2868762	2675077
8	2850331	2639038
9	2831900	2603000
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	3071500	3071500
49	3053069	3035462
50	3034638	2999423
51	3016208	2963385
52	2997777	2927346


