week	High	Low
1	2979346	2891308
2	2960915	2855269
3	2942485	2819231
4	2924054	2783192
5	2905623	2747154
6	2887192	2711115
7	2868762	2675077
8	2850331	2639038
9	2831900	2603000
10	3071500	3071500
11	3071500	3071500
12	3071500	3071500
13	3071500	3071500
14	3071500	3071500
15	3071500	3071500
16	3071500	3071500
17	3071500	3071500
18	3071500	3071500
19	3071500	3071500
20	3071500	3071500
21	3071500	3071500
22	3071500	3071500
23	3071500	3071500
24	3071500	3071500
25	3071500	3071500
26	3071500	3071500
27	3071500	3071500
28	3071500	3071500
29	3071500	3071500
30	3071500	3071500
31	3071500	3071500
32	3071500	3071500
33	3071500	3071500
34	3071500	3071500
35	3071500	3071500
36	3071500	3071500
37	3071500	3071500
38	3071500	3071500
39	3071500	3071500
40	3071500	3071500
41	3071500	3071500
42	3071500	3071500
43	3071500	3071500
44	3071500	3071500
45	3071500	3071500
46	3071500	3071500
47	3071500	3071500
48	3071500	3071500
49	3053069	3035462
50	3034638	2999423
51	3016208	2963385
52	2997777	2927346


