week	CRC1	CRC2	CRC3	CRC4
1	3071500	2427400	1288400	779800
2	3071500	2691300	1681700	779800
3	3071500	2955200	2075000	779800
4	3049052	2854199	1997740	675395
5	3026603	2753198	1920480	570990
6	2951509	2646681	1813997	518680
7	2876415	2540164	1707515	466370
8	2801321	2433646	1601032	414060
9	2726227	2327129	1494549	361750
10	2735008	2293334	1482179	351858
11	2743789	2259539	1469809	341967
12	2752570	2225744	1457438	332075
13	2761350	2191949	1445068	322183
14	2770131	2158154	1432698	312292
15	2711956	2039611	1373235	294524
16	2653781	1921067	1313773	276756
17	2595605	1802524	1254310	258988
18	2537430	1683981	1194848	241220
19	2423590	1584849	1076929	194866
20	2309751	1485718	959011	148511
21	2195911	1386586	841092	102157
22	2082072	1287454	723173	55802
23	1994852	1199301	633026	45425
24	1907632	1111149	542879	35048
25	1820412	1022996	452731	24671
26	1733192	934844	362584	14293
27	1645972	846691	272437	3916
28	1629575	847201	213713	2937
29	1613178	847710	154988	1958
30	1596781	848219	96264	979
31	1580384	848728	37540	0
32	1581704	847794	38557	0
33	1583023	846860	39575	0
34	1584343	845925	40592	0
35	1585663	844991	41609	0
36	1590310	916497	54150	0
37	1594957	988003	66692	0
38	1637554	1168103	101616	0
39	1680152	1348203	136541	0
40	1811742	1463946	279938	0
41	1943333	1579689	423336	0
42	2074924	1695432	566734	0
43	2206515	1811175	710132	0
44	2338106	1926917	853530	0
45	2521455	2005938	924948	0
46	2704803	2084959	996365	0
47	2888152	2163979	1067783	0
48	3071500	2243000	1139200	0
49	3071500	2223125	1078175	0
50	3071500	2203250	1017150	0
51	3071500	2183375	956125	0
52	3071500	2163500	895100	0

