week	HHFlood1	HHFlood2	HHFlood3	HHFlood4	HHFlood5	HHFlood6	HHFlood7	HHFlood8
1	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
2	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
3	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
4	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
5	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
6	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
7	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
8	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
9	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
10	3627000	3627000	3627000	3627000	3627000	3627000	3627000	3627000
11	3607000	3607000	3607000	3607000	3607000	3607000	3607000	3607000
12	3587000	3587000	3587000	3587000	3587000	3587000	3587000	3587000
13	3567000	3567000	3567000	3567000	3567000	3567000	3567000	3567000
14	3547000	3547000	3547000	3547000	3547000	3547000	3547000	3547000
15	3547000	3547000	3547000	3547000	3547000	3547000	3547000	3547000
16	3547000	3547000	3547000	3547000	3547000	3547000	3547000	3547000
17	3547000	3547000	3547000	3547000	3547000	3547000	3547000	3547000
18	3547000	3547000	3547000	3547000	3547000	3547000	3547000	3547000
19	3509500	3509500	3509500	3509500	3509500	3509500	3509500	3509500
20	3472000	3472000	3472000	3472000	3472000	3472000	3472000	3472000
21	3434500	3434500	3434500	3434500	3434500	3434500	3434500	3434500
22	3397000	3397000	3397000	3397000	3397000	3397000	3397000	3397000
23	3410000	3402200	3389200	3359800	3335000	3302400	3276400	3255800
24	3423000	3407400	3381400	3322600	3273000	3207800	3155800	3114600
25	3436000	3412600	3373600	3285400	3211000	3113200	3035200	2973400
26	3449000	3417800	3365800	3248200	3149000	3018600	2914600	2832200
27	3462000	3423000	3358000	3211000	3087000	2924000	2794000	2691000
28	3476500	3428750	3349250	3169000	3017000	2817500	2658000	2531750
29	3491000	3434500	3340500	3127000	2947000	2711000	2522000	2372500
30	3505500	3440250	3331750	3085000	2877000	2604500	2386000	2213250
31	3520000	3446000	3323000	3043000	2807000	2498000	2250000	2054000
32	3536000	3452500	3313250	2996500	2729500	2379750	2099250	1877500
33	3552000	3459000	3303500	2950000	2652000	2261500	1948500	1701000
34	3568000	3465500	3293750	2903500	2574500	2143250	1797750	1524500
35	3584000	3472000	3284000	2857000	2497000	2025000	1647000	1348000
36	3599750	3478250	3274750	2812000	2455000	1976000	1617500	1177250
37	3615500	3484500	3265500	2767000	2413000	1927000	1588000	1006500
38	3631250	3490750	3256250	2722000	2371000	1878000	1558500	835750
39	3647000	3497000	3247000	2677000	2329000	1829000	1529000	665000
40	3647000	3527000	3327000	2871000	2592600	2192600	1952600	1261400
41	3647000	3557000	3407000	3065000	2856200	2556200	2376200	1857800
42	3647000	3587000	3487000	3259000	3119800	2919800	2799800	2454200
43	3647000	3617000	3567000	3453000	3383400	3283400	3223400	3050600
44	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
45	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
46	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
47	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
48	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
49	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
50	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
51	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
52	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
