week	HHFlood1	HHFlood2	HHFlood3	HHFlood4	HHFlood5	HHFlood6	HHFlood7	HHFlood8
1	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
2	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
3	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
4	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
5	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
6	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
7	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
8	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
9	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
10	3051500	3051500	3051500	3051500	3051500	3051500	3051500	3051500
11	3031500	3031500	3031500	3031500	3031500	3031500	3031500	3031500
12	3011500	3011500	3011500	3011500	3011500	3011500	3011500	3011500
13	2991500	2991500	2991500	2991500	2991500	2991500	2991500	2991500
14	2971500	2971500	2971500	2971500	2971500	2971500	2971500	2971500
15	2971500	2971500	2971500	2971500	2971500	2971500	2971500	2971500
16	2971500	2971500	2971500	2971500	2971500	2971500	2971500	2971500
17	2971500	2971500	2971500	2971500	2971500	2971500	2971500	2971500
18	2971500	2971500	2971500	2971500	2971500	2971500	2971500	2971500
19	2934000	2934000	2934000	2934000	2934000	2934000	2934000	2934000
20	2896500	2896500	2896500	2896500	2896500	2896500	2896500	2896500
21	2859000	2859000	2859000	2859000	2859000	2859000	2859000	2859000
22	2821500	2821500	2821500	2821500	2821500	2821500	2821500	2821500
23	2834500	2826700	2813700	2784300	2759500	2726900	2700900	2680300
24	2847500	2831900	2805900	2747100	2697500	2632300	2580300	2539100
25	2860500	2837100	2798100	2709900	2635500	2537700	2459700	2397900
26	2873500	2842300	2790300	2672700	2573500	2443100	2339100	2256700
27	2886500	2847500	2782500	2635500	2511500	2348500	2218500	2115500
28	2901000	2853250	2773750	2593500	2441500	2242000	2082500	1956250
29	2915500	2859000	2765000	2551500	2371500	2135500	1946500	1797000
30	2930000	2864750	2756250	2509500	2301500	2029000	1810500	1637750
31	2944500	2870500	2747500	2467500	2231500	1922500	1674500	1478500
32	2960500	2877000	2737750	2421000	2154000	1804250	1523750	1302000
33	2976500	2883500	2728000	2374500	2076500	1686000	1373000	1125500
34	2992500	2890000	2718250	2328000	1999000	1567750	1222250	949000
35	3008500	2896500	2708500	2281500	1921500	1449500	1071500	772500
36	3024500	2902500	2699500	2236500	1846500	1360500	1021500	601500
37	3040500	2908500	2690500	2191500	1771500	1271500	971500	430500
38	3056000	2915000	2681000	2146500	1762500	1262500	962500	260000
39	3071500	2921500	2671500	2101500	1753500	1253500	953500	89500
40	3071500	2951500	2751500	2295500	2017100	1617100	1377100	685900
41	3071500	2981500	2831500	2489500	2280700	1980700	1800700	1282300
42	3071500	3011500	2911500	2683500	2544300	2344300	2224300	1878700
43	3071500	3041500	2991500	2877500	2807900	2707900	2647900	2475100
44	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
45	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
46	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
47	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
48	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
49	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
50	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
51	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
52	3071500	3071500	3071500	3071500	3071500	3071500	3071500	3071500
