week	HHFlood1	HHFlood2	HHFlood3	HHFlood4	HHFlood5	HHFlood6	HHFlood7	HHFlood8	HHFlood10
1	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
2	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
3	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
4	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
5	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
6	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
7	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
8	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
9	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
10	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
11	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
12	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
13	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
14	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
15	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
16	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
17	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
18	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
19	3584500	3584500	3584500	3584500	3584500	3584500	3584500	3584500	3584500	3584500
20	3522000	3522000	3522000	3522000	3522000	3522000	3522000	3522000	3522000	3522000
21	3459500	3459500	3459500	3459500	3459500	3459500	3459500	3459500	3459500	3459500
22	3397000	3397000	3397000	3397000	3397000	3397000	3397000	3397000	3397000	3397000
23	3409000	3397000	3397000	3397000	3381000	3347000	3309000	3285000	3285000	3285000
24	3421000	3397000	3397000	3397000	3365000	3297000	3221000	3173000	3173000	3173000
25	3433000	3397000	3397000	3397000	3349000	3247000	3133000	3061000	3061000	3061000
26	3445000	3397000	3397000	3397000	3333000	3197000	3045000	2949000	2949000	2949000
27	3457000	3397000	3397000	3397000	3317000	3147000	2957000	2837000	2837000	2837000
28	3484500	3397000	3397000	3369500	3289500	3099500	2879500	2727000	2699500	2664500
29	3512000	3397000	3397000	3342000	3262000	3052000	2802000	2617000	2562000	2492000
30	3539500	3397000	3397000	3314500	3234500	3004500	2724500	2507000	2424500	2319500
31	3567000	3397000	3397000	3287000	3207000	2957000	2647000	2397000	2287000	2147000
32	3574500	3412000	3412000	3252000	3167000	2914500	2592000	2282000	2127000	1959500
33	3582000	3427000	3427000	3217000	3127000	2872000	2537000	2167000	1967000	1772000
34	3589500	3442000	3442000	3182000	3087000	2829500	2482000	2052000	1807000	1584500
35	3597000	3457000	3457000	3147000	3047000	2787000	2427000	1937000	1647000	1397000
36	3609500	3477000	3462000	3102000	3027000	2759500	2399500	1907000	1627000	1214500
37	3622000	3497000	3467000	3057000	3007000	2732000	2372000	1877000	1607000	1032000
38	3634500	3517000	3472000	3012000	2987000	2704500	2344500	1847000	1587000	849500
39	3647000	3537000	3477000	2967000	2967000	2677000	2317000	1817000	1567000	667000
40	3647000	3545462	3490077	3019308	3019308	2751615	2419308	1957769	1727000	896231
41	3647000	3553923	3503154	3071615	3071615	2826231	2521615	2098538	1887000	1125462
42	3647000	3562385	3516231	3123923	3123923	2900846	2623923	2239308	2047000	1354692
43	3647000	3570846	3529308	3176231	3176231	2975462	2726231	2380077	2207000	1583923
44	3647000	3579308	3542385	3228538	3228538	3050077	2828538	2520846	2367000	1813154
45	3647000	3587769	3555462	3280846	3280846	3124692	2930846	2661615	2527000	2042385
46	3647000	3596231	3568538	3333154	3333154	3199308	3033154	2802385	2687000	2271615
47	3647000	3604692	3581615	3385462	3385462	3273923	3135462	2943154	2847000	2500846
48	3647000	3613154	3594692	3437769	3437769	3348538	3237769	3083923	3007000	2730077
49	3647000	3621615	3607769	3490077	3490077	3423154	3340077	3224692	3167000	2959308
50	3647000	3630077	3620846	3542385	3542385	3497769	3442385	3365462	3327000	3188538
51	3647000	3638538	3633923	3594692	3594692	3572385	3544692	3506231	3487000	3417769
52	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000
53	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000	3647000


