Elevation	Volume
3336	0
3336.1	600
3336.2	1200
3336.3	1700
3336.4	2300
3336.5	2900
3336.6	3500
3336.7	4100
3336.8	4600
3336.9	5200
3337	5800
3337.1	6400
3337.2	7000
3337.3	7500
3337.4	8100
3337.5	8700
3337.6	9300
3337.7	9900
3337.8	10400
3337.9	11000
3338	11600
3338.1	12200
3338.2	12800
3338.3	13300
3338.4	13900
3338.5	14500
3338.6	15100
3338.7	15700
3338.8	16200
3338.9	16800
3339	17400
3339.1	18000
3339.2	18600
3339.3	19200
3339.4	19700
3339.5	20300
3339.6	20900
3339.7	21500
3339.8	22100
3339.9	22600
3340	23200
3340.1	23800
3340.2	24500
3340.3	25100
3340.4	25700
3340.5	26400
3340.6	27000
3340.7	27600
3340.8	28300
3340.9	28900
3341	29500
3341.1	30100
3341.2	30800
3341.3	31400
3341.4	32000
3341.5	32700
3341.6	33300
3341.7	33900
3341.8	34600
3341.9	35200
3342	35800
3342.1	36400
3342.2	37100
3342.3	37700
3342.4	38300
3342.5	39000
3342.6	39600
3342.7	40200
3342.8	40800
3342.9	41500
3343	42100
3343.1	42700
3343.2	43400
3343.3	44000
3343.4	44600
3343.5	45300
3343.6	45900
3343.7	46500
3343.8	47100
3343.9	47800
3344	48400
3344.1	49000
3344.2	49700
3344.3	50300
3344.4	50900
3344.5	51600
3344.6	52200
3344.7	52800
3344.8	53400
3344.9	54100
3345	54700
3345.1	55300
3345.2	56000
3345.3	56600
3345.4	57200
3345.5	57900
3345.6	58500
3345.7	59100
3345.8	59700
3345.9	60400
3346	61000
3346.1	61600
3346.2	62300
3346.3	62900
3346.4	63500
3346.5	64100
3346.6	64800
3346.7	65400
3346.8	66000
3346.9	66700
3347	67300
3347.1	67900
3347.2	68600
3347.3	69200
3347.4	69800
3347.5	70400
3347.6	71100
3347.7	71700
3347.8	72300
3347.9	73000
3348	73600
3348.1	74200
3348.2	74900
3348.3	75500
3348.4	76100
3348.5	76700
3348.6	77400
3348.7	78000
3348.8	78600
3348.9	79300
3349	79900
3349.1	80500
3349.2	81100
3349.3	81800
3349.4	82400
3349.5	83000
3349.6	83700
3349.7	84300
3349.8	84900
3349.9	85600
3350	86200
3350.1	86800
3350.2	87400
3350.3	88100
3350.4	88700
3350.5	89300
3350.6	90000
3350.7	90600
3350.8	91200
3350.9	91900
3351	92500
3351.1	93100
3351.2	93700
3351.3	94400
3351.4	95000
3351.5	95600
3351.6	96300
3351.7	96900
3351.8	97500
3351.9	98200
3352	98800
3352.1	99400
3352.2	100000
3352.3	100700
3352.4	101300
3352.5	101900
3352.6	102600
3352.7	103200
3352.8	103800
3352.9	104400
3353	105100
3353.1	105700
3353.2	106300
3353.3	107000
3353.4	107600
3353.5	108200
