Week	MIHistStor	ARHistStor	DUHistStor	CLHistStor	LBHistStor	HHHistStor	GCHistStor	DWHistStor	BRHistStor
1	20070850	7323986	1422748	591377	5581720	3576450	8846300	3064240	1328530
2	19698400	7077961	1373734	640000	5236030	3411570	8719460	2970320	1419470
3	18773200	6459813	1306126	700000	4628310	3188400	8746320	2827060	1419340
4	17651750	6278545	1175432	750000	3916320	3134740	9108180	2694370	1402550
5	16263500	5310992	829830	816730	2619760	2951150	8994350	2371460	1287700
6	15300100	4965904	616935	665960	1863450	2731270	7288020	1968530	938369
7	14787380	3545044	344716	486370	1304470	2407190	5120750	1456970	899639
8	14365800	3979719	353400	149410	1487500	2185120	4434430	1798010	916231
9	13943600	4747611	353400	245000	3565720	3091080	7574060	3135070	1340980
10	14427400	6327300	582605	144000	5072980	3583300	8926140	3464600	1422110
11	16670100	4732696	1127660	480000	5852930	3662360	9108180	3464600	1418290
12	18826600	7111528	1423400	589210	5838570	3672690	9108180	3464600	1403080
13	19913100	7210434	1400393	589210	5767570	3673460	8971850	3230280	1402940
14	19334670	6822911	1322930	640000	5175460	3328640	9004810	3146060	1391860
15	18025900	6075481	1194938	700000	4564110	3227200	8769270	2924620	1359150
16	16680200	5757344	1049026	750000	3914180	2844740	8884570	2660730	1285220
17	15551800	5488231	863588	816730	3325900	2583440	8083760	2338270	1129300
18	14266930	4246364	509476	665960	2932440	2477720	6848160	2167630	1227660
19	13689200	2852801	148523	144000	2508380	2347050	5601190	2163760	1181190
20	13319730	1350965	153400	149410	2317160	2386140	5562070	2477940	1158930
21	13517400	2994004	153400	245000	2991860	2894870	6474090	2870070	1295810
22	14376100	4727300	377668	144000	3984950	3079950	8166930	2961520	1327640
23	16625100	3177751	813236	480000	3880690	2881470	8847100	2758830	1282850
24	19912500	5682641	1244872	589210	3877500	2611190	9008030	2647630	1317780
25	20075520	7327300	1423400	589210	3907040	2542910	8829590	2583740	1408310
26	19636700	7032186	1364616	640000	3566060	2277900	8859850	2551180	1367900
27	18641400	6339641	1283302	700000	2809220	2036590	8831980	2442860	1356580
28	17451600	6076446	1147302	750000	2532890	2104240	8593720	2734650	1287830
29	16201000	5461516	858499	816730	2078460	1936930	7070410	2328450	1020020
30	14912000	4710047	656736	665960	1723110	1758540	5925860	1981140	922246
31	14069500	2815397	506415	144000	1697380	1692440	5735360	1840410	838980
32	13652470	2477944	465389	149410	1993050	2047910	4731790	2437480	1074280
33	13411000	3389325	517812	245000	3350730	2717610	6027690	3159600	1224870
34	14521800	6218040	825707	144000	5153660	3464990	8505590	3438800	1408440
35	16900000	4502791	1297571	480000	5839500	3669590	9051560	3464600	1383020
36	19758900	6796760	1423400	589210	5825160	3657980	8950180	3400950	1365580
37	20075520	7327300	1423400	589210	5692120	3659270	8965420	3088710	1346850
38	19665500	7051195	1368402	640000	5306630	3565820	8577300	3059820	1386530
39	18664800	6247509	1265804	700000	4454520	3130610	7941350	2811807	1370860
40	17589000	6167166	1142005	750000	3469690	2666340	8088290	2233080	1173740
41	16389400	5468929	859911	816730	2617830	2368210	8163130	1762030	1013090
42	14943700	3559833	575004	172966	2484280	2383330	6873990	1773830	1037710
43	13650000	829134	296368	472627	2453440	2332650	5831310	1899110	1163980
44	13241000	1006263	337073	146710	2515100	2410960	4825200	2398370	1176930
45	13139400	2227300	353400	245000	3694330	3093810	7301450	3355350	1402160
46	14505100	2227300	769514	144000	4950590	3634840	8478400	3464600	1274420
47	17405300	227340	1423400	480000	5478500	3558240	8554660	3400070	1039900
48	20075520	3180924	1423400	589210	5500290	3231430	8736830	3297750	1217510
49	19967400	7251452	1408468	589210	5318390	3095180	8601550	3159100	1316520
50	19458000	6918347	1341940	640000	4749940	2789790	8448950	3067510	1358380
51	18544300	6322615	1280069	700000	3777510	2350380	7260500	2827220	1220280
52	17675200	6325808	1181208	750000	3042930	2192140	8356340	2484780	1147370
53	16548900	5529977	871539	816730	2489360	2177070	7006840	2219040	1055350
54	15778800	4384270	553920	665960	2231360	2178640	6123730	2251960	1077650
55	15412900	2602382	153400	486370	2176680	2210650	5331900	2401500	1077420
56	15000200	2227300	153400	149410	2652750	2530360	6309850	2845480	1236880
57	14733000	2227300	153400	245000	4830950	3397890	8963020	3464600	1424220
58	15114200	2188608	459454	144000	5694850	3628940	9039460	3464600	1415260
59	18837500	5956777	1312321	241992	5823310	3666490	8973450	3464600	1304450
60	20075520	7327300	1423400	594110	5806690	3589900	8959000	3383890	1295940
61	20075520	7327300	1423400	594110	5722670	3434640	8785910	3145230	123518349
62	19928600	7232860	1404588	640000	5186590	3316630	8867020	3069810	123518349
63	19826700	7041694	1416638	700000	4538510	3196320	8761350	2881170	123518349
64	19790300	7077300	1423400	750000	3842810	2995110	9096030	2801060	123518349
65	19075520	6327300	1023400	816730	2992460	3010910	8643100	2733150	123518349
66	17742200	4960633	588400	665960	2261160	2938210	8724990	2973200	123518349
67	16408900	3593967	153400	486370	2105990	2822790	8165410	3046260	123518349
68	15075520	2227300	153400	149410	2410260	2818970	7119720	3301890	123518349
69	15075520	2227300	153400	245000	4312710	3498770	8717880	3464600	123518349
70	17098400	227340	659280	144000	5620020	3656950	9022520	3464600	123518349
71	19597200	227340	1119274	480000	5850610	3661840	9098460	3464600	123518349
72	20075520	4953952	1423400	589272	5844590	3666490	9062870	3464600	123518349
73	19984200	7264231	1410984	589210	5716740	3497280	8945370	3073420	123518349
74	19329000	6839689	1326272	640000	5276670	3111820	8852670	3006180	123518349
75	18562270	6366226	1275401	700000	4741040	2927490	8804160	2884300	123518349
76	18014900	6483095	1226850	750000	3817800	2773390	8795430	2665160	123518349
77	16906300	5593478	883633	816730	2842540	2540550	8909340	2233460	123518349
78	16108000	4446457	557640	665960	2309250	2475020	8025110	2328450	123518349
79	15768500	3593967	153400	486370	2027360	2331910	5065170	1609150	123518349
80	15075520	2227300	153400	149410	1911460	2023820	4319640	1725400	123518349
81	14749700	2227300	153400	245000	2758710	2606580	6216330	2728930	123518349
82	15075520	2227300	450441	144000	5062000	3588380	8625050	3441640	123518349
83	17385900	227340	1098705	480000	5845520	3660300	9028970	3462820	123518349
84	20075520	4695802	1423400	594110	5845050	3669580	8985510	3446790	123518349
85	20075520	7327300	1423400	594110	5799310	3662350	9065290	3181080	123518349
86	19750000	7117393	1381588	640000	5394100	3641000	9063680	3111660	123518349
87	18870600	6403041	1295343	700000	4540090	3563800	8431920	2914510	123518349
88	17749700	6230999	1160036	750000	3806910	3437840	8486940	2644690	123518349
89	16339600	5308449	829345	816730	2868510	3260440	9095220	2423750	123518349
90	15040800	3648411	509898	665960	2180120	3012020	8441210	2499640	123518349
91	14280800	1530213	143348	486370	2058260	2889680	5825810	2454460	123518349
92	13866900	870996	153400	149410	2297040	2676330	4449510	2633850	123518349
93	13909200	2227300	153400	245000	3520830	2998660	6174350	3249530	123518349
94	15267600	2035213	692221	144000	5117460	3631250	8710780	3464600	123518349
95	17690900	227340	1282379	480000	5842270	3667270	9056410	3464600	123518349
96	20075520	2749201	1423400	589210	5837180	3641760	8821640	3464600	123518349
97	20075520	6221005	1423400	589210	5597470	3343800	8713150	3128250	123518349
98	19403200	6887309	1335758	640000	5100490	3048550	8903750	3043330	123518349
99	18431000	6279433	1256931	700000	4803980	3079050	9016080	2899530	123518349
100	17241400	5951871	1123114	750000	3781700	2802020	8483060	2475150	123518349
101	16057400	5491228	864158	816730	2927690	2667370	8998370	2491920	123518349
102	14923300	4678718	601848	665960	2681230	2400040	8446630	2580570	123518349
103	14261300	2966982	336778	486370	2626940	2210300	8356340	2650860	123518349
104	13818280	2820013	353400	144000	2773290	2369880	6183880	2782400	123518349
105	13549900	3123872	353400	245000	3343950	2690450	6271940	3305000	123518349
106	14129840	5228024	623155	144000	5231290	3428240	8805750	3400240	123518349
107	15746700	5656133	1124504	480000	5852930	3648450	8380200	3417180	123518349
108	18402500	7327300	1423400	589210	5644890	3516010	8740790	3371260	123518349
109	19530000	7035969	1366048	589210	5457660	3280360	8794640	3026420	123518349
110	19146200	6692617	1296977	640000	4993540	3137270	8728930	2979940	123518349
111	18039000	6056229	1229476	700000	4325650	3091080	8603900	2877260	123518349
112	17177160	6178950	1147302	750000	3264520	2843460	8801780	2616190	123518349
113	15761700	5150595	799280	816730	2225880	2488920	8147220	2066620	123518349
114	14699400	3912618	525704	665960	1985860	2155300	6645090	1609420	123518349
115	14249800	2320214	152026	486370	1901530	1923850	4870800	1658550	123518349
116	13845400	2227300	153400	149410	2139090	2182490	4906960	2289480	123518349
117	13696400	2227300	153400	245000	3663440	3136580	5531970	3152910	123518349
118	14870600	2227300	559085	144000	5065380	-2317462059	7815260	3464600	123518349
119	17315500	227340	1223415	480000	5427140	3459300	8394080	3311740	123518349
120	20075520	2815512	1423400	594110	5398940	3053500	8510260	2984910	123518349
121	19825500	5103577	1388957	589210	5208050	2856950	8671390	2811040	123518349
122	19431080	6664965	1337662	640000	4486430	2800130	8615650	2870070	123518349
123	18442100	6207508	1258207	700000	3720890	3158020	8004120	2770520	123518349
124	17286000	6002199	1140515	750000	3119800	2732520	7178340	2371730	123518349
125	16227700	5553936	876102	816730	2254120	2449130	8926140	2392130	123518349
126	15204200	4807677	528113	665960	2207010	2416070	8927750	2781940	123518349
127	14604000	3254201	148428	486370	2337650	2646850	8492380	2626540	123518349
128	14240900	3794341	153400	144000	2692170	2901160	6643100	3038120	123518349
129	14179300	4473311	153400	245000	4077780	3356120	6957348	3383540	123518349
130	15577600	5525181	645320	144000	5756090	3645880	8268940	3464600	123518349
131	17009600	4093182	1061787	480000	5838570	3667780	8752650	3464600	123518349
132	19884290	6524551	1423400	589210	5810840	3533560	8747110	3441990	123518349
133	20075520	7327300	1423400	589210	5243370	3207060	8845507	2955290	123518349
134	19506600	6943078	1346866	640000	4193250	2946980	8837550	2891520	123518349
135	18750300	6381534	1291259	700000	3313700	2931210	8887770	2774470	123518349
