Week	KerrFloodCurve
1	1790000
2	1790000
3	1790000
4	1790000
5	1790000
6	1790000
7	1790000
8	1790000
9	1790000
10	1790000
11	1790000
12	1790000
13	1790000
14	1790000
15	1790000
16	1790000
17	1790000
18	1790000
19	1790000
20	1790000
21	1790000
22	1790000
23	1.73E+06
24	1.67E+06
25	1.60E+06
26	1.54E+06
27	1480000
28	1.40E+06
29	1.33E+06
30	1.25E+06
31	1170000
32	1.10E+06
33	1020000
34	945000
35	870000
36	797396
37	724792
38	652188
39	579584
40	746983
41	914382
42	1.08E+06
43	1.25E+06
44	1.42E+06
45	1.51E+06
46	1.60E+06
47	1.70E+06
48	1790000
49	1790000
50	1790000
51	1790000
52	1790000
