Week	KerrFloodCurve
1	1792000
2	1792000
3	1792000
4	1792000
5	1792000
6	1792000
7	1792000
8	1792000
9	1792000
10	1792000
11	1792000
12	1792000
13	1792000
14	1792000
15	1792000
16	1792000
17	1792000
18	1792000
19	1792000
20	1792000
21	1792000
22	1792000
23	1792000
24	1792000
25	1792000
26	1792000
27	1792000
28	1792000
29	1792000
30	1792000
31	1792000
32	1588262
33	1386525
34	1184787
35	983050
36	781312
37	579575
38	719040
39	858505
40	997970
41	1137435
42	1276901
43	1416366
44	1540911
45	1540911
46	1792000
47	1792000
48	1792000
49	1792000
50	1792000
51	1792000
52	1792000
