week	Kerr
1	572800
2	572800
3	572800
4	572800
5	572800
6	572800
7	572800
8	572800
9	572800
10	572800
11	572800
12	572800
13	572800
14	572800
15	572800
16	572800
17	572800
18	572800
19	572800
20	572800
21	572800
22	572800
23	572800
24	572800
25	572800
26	572800
27	572800
28	572800
29	572800
30	572800
31	572800
32	572800
33	572800
34	572800
35	572800
36	572800
37	572800
38	572800
39	572800
40	594301
41	615802
42	637302
43	658803
44	680304
45	908056
46	1135808
47	1363560
48	1591312
49	1641484
50	1691656
51	1741828
52	1792000
