week	CRC1	CRC2	CRC3	CRC4
1	1792000	1792000	1792000	1792000
2	1792000	1792000	1792000	1792000
3	1792000	1792000	1792000	1792000
4	1792000	1792000	1792000	1792000
5	1792000	1792000	1792000	1792000
6	1792000	1792000	1792000	1792000
7	1792000	1792000	1792000	1792000
8	1792000	1792000	1792000	1792000
9	1792000	1792000	1792000	1792000
10	1792000	1791294	1791928	1760391
11	1792000	1790587	1791857	1728782
12	1792000	1789881	1791785	1697174
13	1792000	1789174	1791714	1665565
14	1792000	1788468	1791642	1633956
15	1790869	1785890	1775278	1570882
16	1789739	1783311	1758915	1507808
17	1788608	1780733	1742551	1444733
18	1787477	1778154	1726187	1381659
19	1769824	1740171	1697576	1280254
20	1752171	1702188	1668964	1178849
21	1734518	1664204	1640353	1077444
22	1716865	1626221	1611741	976039
23	1657718	1568066	1570723	910228
24	1598571	1509910	1529705	844416
25	1539424	1451755	1488687	778605
26	1480277	1393599	1447669	712793
27	1421130	1335444	1406651	646982
28	1297560	1260122	1324585	628437
29	1173990	1184800	1242519	609891
30	1050419	1109477	1160452	591346
31	926849	1034155	1078386	572800
32	838337	918816	952138	572800
33	749825	803478	825891	572800
34	661312	688139	699643	572800
35	572800	572800	573395	572800
36	572800	575875	574585	572800
37	572800	578949	575775	572800
38	592932	795742	607808	572800
39	613064	1012535	639841	572800
40	774122	1093699	795543	572800
41	935180	1174862	951246	572800
42	1096237	1256026	1106948	572800
43	1257295	1337189	1262651	572800
44	1418353	1418353	1418353	572800
45	1511765	1511765	1511765	572800
46	1605177	1605177	1605177	572800
47	1698588	1698588	1698588	572800
48	1792000	1792000	1792000	572800
49	1792000	1792000	1792000	572800
50	1792000	1792000	1792000	572800
51	1792000	1792000	1792000	572800
52	1792000	1792000	1792000	572800
