Elevation	Volume
2883	572800
2883.1	584700
2883.2	596500
2883.3	608300
2883.4	620100
2883.5	632000
2883.6	643900
2883.7	655700
2883.8	667500
2883.9	679300
2884	691200
2884.1	703200
2884.2	715100
2884.3	727000
2884.4	738900
2884.5	750900
2884.6	762900
2884.7	774800
2884.8	786700
2884.9	798600
2885	810600
2885.1	822600
2885.2	834600
2885.3	846700
2885.4	858700
2885.5	870700
2885.6	882700
2885.7	894700
2885.8	906800
2885.9	918800
2886	930800
2886.1	942900
2886.2	955000
2886.3	967100
2886.4	979200
2886.5	991300
2886.6	1003400
2886.7	1015500
2886.8	1027600
2886.9	1039700
2887	1051800
2887.1	1064000
2887.2	1076100
2887.3	1088300
2887.4	1100400
2887.5	1112600
2887.6	1124800
2887.7	1136900
2887.8	1149100
2887.9	1161200
2888	1173400
2888.1	1185600
2888.2	1197800
2888.3	1210000
2888.4	1222200
2888.5	1234400
2888.6	1246700
2888.7	1258900
2888.8	1271100
2888.9	1283300
2889	1295500
2889.1	1307800
2889.2	1320100
2889.3	1332300
2889.4	1344600
2889.5	1356900
2889.6	1369200
2889.7	1381500
2889.8	1393700
2889.9	1406000
2890	1418300
2890.1	1430700
2890.2	1443000
2890.3	1455400
2890.4	1467700
2890.5	1480100
2890.6	1492500
2890.7	1504800
2890.8	1517200
2890.9	1529500
2891	1541900
2891.1	1554400
2891.2	1566800
2891.3	1579300
2891.4	1591700
2891.5	1604200
2891.6	1616600
2891.7	1629000
2891.8	1641500
2891.9	1653900
2892	1666400
2892.1	1679000
2892.2	1691500
2892.3	1704100
2892.4	1716600
2892.5	1729200
2892.6	1741800
2892.7	1754300
2892.8	1766900
2892.9	1779400
2893	1792000
