Week cfs
1 7734.97959183673
2 7708.85714285714
3 7674.08163265306
4 7687.75510204082
5 7699.4693877551
6 7800.69387755102
7 8018.36734693878
8 8200.81632653061
9 8367.18367346939
10 8393.38775510204
11 8533.0612244898
12 8483.91836734694
13 8349.63265306122
14 8399.18367346939
15 8228.57142857143
16 8082.61224489796
17 7905.59183673469
18 8067.51020408163
19 8083.38775510204
20 8156.36734693878
21 8314.65306122449
22 8473.28798185941
23 8626.48979591837
24 8586.69387755102
25 8618.69387755102
26 8633.91836734694
27 8698.97959183673
28 8570.40816326531
29 8737.14285714286
30 8884.81632653061
31 9061.51020408163
32 9140.65306122449
33 9283.67346938776
34 9903.87755102041
35 10056.0408163265
36 10045.7142857143
37 10404.2857142857
38 11087.1020408163
39 11001.387755102
40 10347.6734693878
41 9949.42857142857
42 10136.8979591837
43 10437.7959183673
44 10559.1020408163
45 10203.7142857143
46 10544.1224489796
47 10471.5918367347
48 9468.9387755102
49 8583.79591836735
50 7747.51020408163
51 7847.18367346939
52 7830.89795918367
