Elevation	Volume
733	446200
733.1	447100
733.2	447900
733.3	448700
733.4	449500
733.5	450400
733.6	451200
733.7	452000
733.8	452900
733.9	453700
734	454500
734.1	455300
734.2	456200
734.3	457000
734.4	457800
734.5	458700
734.6	459500
734.7	460300
734.8	461100
734.9	462000
735	462800
735.1	463600
735.2	464400
735.3	465300
735.4	466100
735.5	466900
735.6	467800
735.7	468600
735.8	469400
735.9	470200
736	471100
736.1	471900
736.2	472700
736.3	473600
736.4	474400
736.5	475200
736.6	476000
736.7	476900
736.8	477700
736.9	478500
737	479300
737.1	480200
737.2	481000
737.3	481800
737.4	482700
737.5	483500
737.6	484300
737.7	485100
737.8	486000
737.9	486800
738	487600
