week	Low	High
1	50000	55000
2	50000	55000
3	50000	55000
4	50000	55000
5	50000	55000
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	85000	100000
38	85000	100000
39	85000	100000
40	85000	100000
41	85000	100000
42	85000	100000
43	85000	100000
44	85000	100000
45	85000	100000
46	85000	100000
47	85000	100000
48	50000	55000
49	50000	55000
50	50000	55000
51	50000	55000
52	50000	55000

