time	ModLowerGraniteFlowData
1	1312130
2	1220150
3	1431950
4	1573660
5	1344460
6	1366250
7	1125410
8	2087610
9	2790580
10	5235520
11	5303540
12	1945530
13	1125640
14	1007760
15	1098480
16	1062630
17	1593920
18	1076110
19	1818300
20	2034130
21	4229440
22	4414330
23	3450120
24	1502560
25	1150150
26	1104480
27	1266010
28	1140720
29	1022530
30	1152880
31	1081060
32	1989010
33	3154860
34	4564610
35	2226480
36	1021390
37	756338
38	851826
39	1040240
40	1165320
41	1181550
42	1075530
43	1014520
44	3544560
45	4894480
46	8794990
47	6293030
48	2389120
49	1191140
50	1076160
51	1191290
52	1582460
53	1346870
54	1350490
55	1039370
56	2032060
57	3706400
58	5488610
59	9579690
60	2378670
61	1225900
62	1103590
63	1342050
64	1805170
65	3165690
66	3163040
67	2038570
68	3440350
69	5410650
70	4186930
71	1954520
72	1075270
73	798625
74	872801
75	1130400
76	1400250
77	1324270
78	1293010
79	1246540
80	1738360
81	3461900
82	5410250
83	4472510
84	1705800
85	1058450
86	929984
87	1098470
88	1212970
89	1136890
90	1292240
91	1135890
92	2334130
93	6691610
94	8391720
95	4136190
96	1529360
97	1151610
98	1062500
99	1056260
100	1059310
101	1099850
102	935619
103	951082
104	1598520
105	2642950
106	5404200
107	3686640
108	1512540
109	903937
110	925848
111	1123590
112	1371460
113	1852500
114	1595190
115	1607750
116	3005760
117	5955880
118	8327470
119	6785030
120	2663840
121	1306610
122	1152020
123	1296940
124	1463680
125	1723160
126	1491640
127	1427330
128	2956520
129	4740960
130	6049040
131	2821370
132	1579490
133	967906
134	1018080
135	1147780
136	1130200
137	1350500
138	1464280
139	2046910
140	3477030
141	5003460
142	6112910
143	3375560
144	1397150
145	907989
146	1119330
147	1381200
148	1436240
149	1662900
150	1578950
151	1574650
152	2281830
153	2770140
154	4650910
155	4210040
156	1886250
157	1308980
158	1426250
159	1560800
160	2007680
161	2778620
162	1748280
163	1768270
164	2118460
165	5233120
166	5614950
167	5563180
168	2492820
169	1239250
170	1168590
171	1267660
172	1768030
173	1961570
174	2615540
175	2615370
176	4053810
177	9894790
178	7999900
179	8750950
180	5115960
181	1805100
182	1398280
183	1661830
184	1671640
185	1654570
186	1390520
187	1354680
188	1717350
189	3019670
190	4481020
191	4059380
192	1891990
193	1232240
194	1153180
195	1182080
196	1392970
197	1260760
198	1697170
199	1950280
200	2168460
201	2851720
202	7180870
203	6063700
204	2274160
205	1251700
206	1314680
207	1672300
208	1820850
209	2086900
210	2271770
211	1881480
212	3783140
213	6480760
214	8339480
215	4936850
216	2224330
217	1305470
218	1437310
219	1807450
220	2302720
221	3886660
222	2213040
223	2659390
224	3531660
225	4538380
226	9241230
227	5689060
228	2283140
229	1339130
230	1314820
231	1765760
232	2199990
233	2364770
234	2647190
235	2259100
236	2498150
237	4891740
238	11493700
239	10510500
240	2970770
241	1601010
242	1290840
243	1407850
244	1650250
245	1646420
246	1558680
247	2040430
248	4035440
249	5933000
250	10854400
251	5306450
252	1887600
253	1200000
254	1166750
255	1412700
256	1692890
257	1824080
258	1926910
259	2507990
260	3965870
261	5778770
262	7204200
263	9523750
264	4364680
265	1839490
266	1604760
267	2220840
268	2639030
269	2770550
270	2584190
271	3534980
272	3218600
273	6636480
274	8572400
275	5798520
276	2794820
277	1490010
278	1508720
279	2210060
280	1983020
281	2300770
282	2005290
283	2335430
284	2953390
285	9230990
286	11552200
287	6902320
288	2826010
289	1426590
290	1272990
291	1286810
292	1450220
293	1534570
294	2676970
295	2652550
296	2581880
297	3915350
298	6432750
299	9335450
300	3785430
301	1512020
302	1295460
303	1318810
304	1476850
305	1800020
306	1868670
307	2350970
308	2628370
309	4378820
310	8079790
311	6130080
312	3238840
313	1516790
314	1355970
315	1307520
316	1452440
317	1518490
318	1482680
319	1347030
320	1488430
321	2920620
322	6150930
323	7709250
324	3227040
325	1362880
326	1190850
327	1446280
328	1866870
329	3353040
330	3308580
331	2229570
332	4091810
333	7863420
334	11508800
335	8568870
336	2703040
337	1551770
338	1383110
339	1769400
340	1871670
341	2091770
342	1769320
343	2469810
344	4086320
345	5217260
346	12144400
347	7510950
348	2298630
349	1356260
350	1290960
351	1597650
352	1569890
353	1869990
354	1694140
355	2977690
356	2513260
357	5301490
358	10787000
359	6378060
360	2158820
361	1338830
362	1264510
363	1450620
364	2190800
365	2719470
366	3000360
367	2325920
368	2470560
369	4437020
370	6408660
371	7539540
372	2438920
373	1415530
374	1785350
375	2692820
376	2457490
377	1983150
378	1808230
379	1991760
380	3565380
381	5196670
382	5840840
383	6239680
384	1967520
385	1305010
386	1199980
387	1291300
388	1566810
389	1350270
390	1300020
391	2632030
392	2671240
393	3283300
394	6388560
395	6066880
396	1601640
397	1014370
398	1155330
399	1380810
400	1461520
401	1526600
402	1731700
403	1988830
404	2202150
405	5942910
406	6570160
407	6215610
408	2260220
409	1373310
410	1181980
411	1999730
412	2156390
413	2628590
414	1770300
415	3397520
416	2474650
417	3382610
418	6417980
419	6436910
420	2490990
421	1398750
422	1367400
423	1354530
424	1597800
425	1455080
426	1516990
427	1528360
428	2000720
429	4146640
430	7469820
431	10801400
432	3391080
433	1626930
434	1566880
435	1513110
436	1897670
437	4085780
438	4038390
439	3973780
440	3886020
441	7765740
442	9527040
443	9937040
444	3902100
445	2262100
446	2044580
447	2236640
448	1717900
449	1700670
450	1711580
