week	LB1931Refill
1	4270327
2	4270327
3	4270327
4	4319815
5	4369302
6	4386360
7	4403418
8	4420476
9	4437533
10	4435947
11	4434360
12	4432773
13	4431186
14	4429600
15	4415418
16	4401236
17	4387054
18	4372872
19	4347484
20	4322095
21	4296707
22	4271319
23	4251167
24	4231015
25	4210863
26	4190710
27	4170558
28	4144674
29	4118790
30	4092906
31	4067021
32	4040939
33	4014856
34	3988773
35	3962691
36	3943054
37	3923418
38	3915286
39	3907154
40	4081104
41	4255054
42	4429005
43	4602955
44	4776905
45	5001235
46	5225566
47	5449896
48	5674227
49	5723020
50	5771813
51	5820607
52	5869400
