week	LB1931Refill
1	4289467
2	4289467
3	4289467
4	4338558
5	4387649
6	4404633
7	4421616
8	4438600
9	4455583
10	4453996
11	4452409
12	4450823
13	4449236
14	4447649
15	4433542
16	4419434
17	4405327
18	4391219
19	4365905
20	4340591
21	4315277
22	4289963
23	4269871
24	4249778
25	4229686
26	4209593
27	4189501
28	4163666
29	4137831
30	4111996
31	4086162
32	4060129
33	4034096
34	4008063
35	3982030
36	3945286
37	3908542
38	3906360
39	3904178
40	4078605
41	4253031
42	4427457
43	4601884
44	4776310
45	5004707
46	5233103
47	5461500
48	5689896
49	5734772
50	5869400
51	5869400
52	5869400

