week	LBAgRech
1	17704.9
2	14988
3	12271.1
4	9554.22
5	6837.33
6	4828.81
7	2820.29
8	811.78
9	-1196.74
10	-1488.17
11	-1779.6
12	-2071.03
13	-2362.46
14	-2653.89
15	-2594.84
16	-2535.8
17	-2476.75
18	-2417.71
19	-2297.38
20	-2177.06
21	-2056.73
22	-1936.4
23	-1886.26
24	-1836.12
25	-1785.97
26	-1735.83
27	-1685.68
28	-1625.3
29	-1564.91
30	-1504.52
31	-1444.14
32	-1384.54
33	-1324.94
34	-1265.34
35	-1205.74
36	-1022.29
37	-838.84
38	-655.39
39	-471.94
40	1366.65
41	3205.24
42	5043.83
43	6882.41
44	8721
45	11169.5
46	13618.1
47	16066.6
48	18515.1
49	18991.8
50	19468.5
51	19945.1
52	20421.8
