week	perc_15th	perc_25th	perc_75th	perc_85th
1	5770433	5770433	5770433	5770433
2	5671467	5671467	5671467	5671467
3	5572500	5572500	5572500	5572500
4	5473533	5473533	5473533	5473533
5	5374567	5374567	5374567	5374567
6	5275600	5275600	5275600	5275600
7	5176633	5176633	5176633	5176633
8	5077667	5077667	5077667	5077667
9	4978700	5414900	5414900	5641200
10	5869400	5869400	5869400	5869400
11	5869400	5869400	5869400	5869400
12	5869400	5869400	5869400	5869400
13	5869400	5869400	5869400	5869400
14	5869400	5869400	5869400	5869400
15	5869400	5869400	5869400	5869400
16	5869400	5869400	5869400	5869400
17	5869400	5869400	5869400	5869400
18	5869400	5869400	5869400	5869400
19	5869400	5869400	5869400	5869400
20	5869400	5869400	5869400	5869400
21	5869400	5869400	5869400	5869400
22	5869400	5869400	5869400	5869400
23	5869400	5869400	5869400	5869400
24	5869400	5869400	5869400	5869400
25	5869400	5869400	5869400	5869400
26	5869400	5869400	5869400	5869400
27	5869400	5869400	5869400	5869400
28	5869400	5869400	5869400	5869400
29	5869400	5869400	5869400	5869400
30	5869400	5869400	5869400	5869400
31	5869400	5869400	5869400	5869400
32	5869400	5869400	5869400	5869400
33	5869400	5869400	5869400	5869400
34	5869400	5869400	5869400	5869400
35	5869400	5869400	5869400	5869400
36	5869400	5869400	5869400	5869400
37	5869400	5869400	5869400	5869400
38	5869400	5869400	5869400	5869400
39	5869400	5869400	5869400	5869400
40	5869400	5869400	5869400	5869400
41	5869400	5869400	5869400	5869400
42	5869400	5869400	5869400	5869400
43	5869400	5869400	5869400	5869400
44	5869400	5869400	5869400	5869400
45	5869400	5869400	5869400	5869400
46	5869400	5869400	5869400	5869400
47	5869400	5869400	5869400	5869400
48	5869400	5869400	5869400	5869400
49	5869400	5869400	5869400	5869400
50	5869400	5869400	5869400	5869400
51	5869400	5869400	5869400	5869400
52	5869400	5869400	5869400	5869400
