week	LBCriticalCurve
1	5313120
2	5225850
3	5138570
4	5051300
5	4964030
6	4948760
7	4933480
8	4918210
9	4902940
10	4879770
11	4856610
12	4833440
13	4810270
14	4787110
15	4761620
16	4736130
17	4710640
18	4685160
19	4477640
20	4270120
21	4062600
22	3855080
23	3826670
24	3798270
25	3769870
26	3741460
27	3713060
28	3684600
29	3656140
30	3627670
31	3599210
32	3570250
33	3541290
34	3512340
35	3483380
36	3480010
37	3476630
38	3473260
39	3469890
40	3670660
41	3871420
42	4072190
43	4272950
44	4473720
45	4819040
46	5164360
47	5509680
48	5855000
49	5741350
50	5627700
51	5514040
52	5400390
