week	CRC1	CRC2	CRC3	CRC4
1	5809367	5670193	4453798	4279451
2	5839383	5706425	5057764	4279451
3	5869400	5742656	5661731	4279451
4	5869004	5733731	5647351	4292542
5	5868607	5724805	5632970	4305633
6	5811434	5678045	5589086	4304592
7	5754260	5631285	5545202	4303550
8	5697087	5584524	5501317	4302509
9	5639913	5537764	5457433	4301467
10	5647133	5517493	5431688	4250135
11	5654353	5497222	5405942	4198803
12	5661572	5476951	5380197	4147470
13	5668792	5456680	5354451	4096138
14	5676012	5436409	5328706	4044806
15	5518822	5271930	5164227	3891881
16	5361632	5107451	4999748	3738956
17	5204442	4942971	4835268	3586030
18	5047252	4778492	4670789	3433105
19	4740955	4488955	4374112	3085204
20	4434658	4199418	4077435	2737304
21	4128360	3909881	3780757	2389403
22	3822063	3620344	3484080	2041502
23	3781561	3517323	3337660	1871638
24	3741058	3414301	3191240	1701774
25	3700556	3311280	3044821	1531909
26	3660053	3208258	2898401	1362045
27	3619551	3105237	2751981	1192181
28	3565749	3061849	2595535	1116611
29	3511948	3018460	2439089	1041041
30	3458146	2975072	2282642	965470
31	3404344	2931683	2126196	889900
32	3358675	2832212	2028461	0
33	3313006	2732741	1930726	0
34	3267336	2633270	1832990	0
35	3221667	2533799	1735255	0
36	3136180	2562857	1694594	0
37	3050692	2591915	1653932	0	
38	3003287	2705667	1634891	0
39	2955882	2819419	1615850	0
40	3139670	2996781	1792656	0
41	3323458	3174143	1969463	0
42	3507247	3351504	2146269	0
43	3691035	3528866	2323076	0
44	3874823	3706228	2499882	0
45	4341881	4117203	2742609	0
46	4808938	4528178	2985336	0
47	5275996	4939153	3228063	0
48	5743053	5350128	3470790	0
49	5752127	5421087	3565550	0
50	5761202	5492045	3660311	0
51	5770276	5563004	3755071	0
52	5779350	5633962	3849831	0
