LBFlood1	LBFlood2	LBFlood3	LBFlood4	LBFlood5
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5730100	5730100	5730100	5730100	5730100
5605100	5605100	5605100	5605100	5605100
5480100	5480100	5480100	5480100	5480100
5355100	5355100	5355100	5355100	5355100
4980100	4980100	4980100	4980100	4980100
4605100	4605100	4605100	4605100	4605100
4230100	4230100	4230100	4230100	4230100
3855100	3855100	3855100	3855100	3855100
3975100	3975100	3815100	3647100	3543100
4095100	4095100	3775100	3439100	3231100
4215100	4215100	3735100	3231100	2919100
4335100	4335100	3695100	3023100	2607100
4455100	4455100	3655100	2815100	2295100
4555100	4555100	3605100	2635100	2025100
4655100	4655100	3555100	2455100	1755100
4755100	4755100	3505100	2275100	1485100
4855100	4855100	3455100	2095100	1215100
4980100	4905100	3430100	2035100	1130100
5105100	4955100	3405100	1975100	1045100
5230100	5005100	3380100	1915100	960100
5355100	5055100	3355100	1855100	875100
5455100	5055100	3355100	1855100	875100
5555100	5055100	3355100	1855100	875100
5655100	5055100	3355100	1855100	875100
5755100	5055100	3355100	1855100	875100
5775100	5215100	3855100	2655100	1871100
5795100	5375100	4355100	3455100	2867100
5815100	5535100	4855100	4255100	3863100
5835100	5695100	5355100	5055100	4859100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
5855100	5855100	5855100	5855100	5855100
