week	LBFlood1	LBFlood2	LBFlood3	LBFlood4	LBFlood5
1	5869400	5869400	5869400	5869400	5869400
2	5869400	5869400	5869400	5869400	5869400
3	5869400	5869400	5869400	5869400	5869400
4	5869400	5869400	5869400	5869400	5869400
5	5869400	5869400	5869400	5869400	5869400
6	5869400	5869400	5869400	5869400	5869400
7	5869400	5869400	5869400	5869400	5869400
8	5869400	5869400	5869400	5869400	5869400
9	5869400	5869400	5869400	5869400	5869400
10	5869400	5869400	5869400	5869400	5869400
11	5869400	5869400	5869400	5869400	5869400
12	5869400	5869400	5869400	5869400	5869400
13	5869400	5869400	5869400	5869400	5869400
14	5869400	5869400	5869400	5869400	5869400
15	5744400	5744400	5744400	5744400	5744400
16	5619400	5619400	5619400	5619400	5619400
17	5494400	5494400	5494400	5494400	5494400
18	5369400	5369400	5369400	5369400	5369400
19	4994400	4994400	4994400	4994400	4994400
20	4619400	4619400	4619400	4619400	4619400
21	4244400	4244400	4244400	4244400	4244400
22	3869400	3869400	3869400	3869400	3869400
23	3989400	3989400	3829400	3661400	3557400
24	4109400	4109400	3789400	3453400	3245400
25	4229400	4229400	3749400	3245400	2933400
26	4349400	4349400	3709400	3037400	2621400
27	4469400	4469400	3669400	2829400	2309400
28	4569400	4569400	3619400	2649400	2039400
29	4669400	4669400	3569400	2469400	1769400
30	4769400	4769400	3519400	2289400	1499400
31	4869400	4869400	3469400	2109400	1229400
32	4969400	4969400	3419400	1989400	1059400
33	5069400	5069400	3369400	1869400	889400
34	5219400	5069400	3369400	1869400	889400
35	5369400	5069400	3369400	1869400	889400
36	5469400	5069400	3369400	1869400	889400
37	5569400	5069400	3369400	1869400	889400
38	5669400	5069400	3369400	1869400	889400
39	5769400	5069400	3369400	1869400	889400
40	5869400	5869400	5869400	5869400	5869400
41	5869400	5869400	5869400	5869400	5869400
42	5869400	5869400	5869400	5869400	5869400
43	5869400	5869400	5869400	5869400	5869400
44	5869400	5869400	5869400	5869400	5869400
45	5869400	5869400	5869400	5869400	5869400
46	5869400	5869400	5869400	5869400	5869400
47	5869400	5869400	5869400	5869400	5869400
48	5869400	5869400	5869400	5869400	5869400
49	5869400	5869400	5869400	5869400	5869400
50	5869400	5869400	5869400	5869400	5869400
51	5869400	5869400	5869400	5869400	5869400
52	5869400	5869400	5869400	5869400	5869400
