week	LBFlood_2_1	LBFlood_2_2	LBFlood_2_3	LBFlood_2_4	LBFlood_2_5
1	5855100	5855100	5855100	5855100	5855100
2	5855100	5855100	5855100	5855100	5855100
3	5855100	5855100	5855100	5855100	5855100
4	5855100	5855100	5855100	5855100	5855100
5	5855100	5855100	5855100	5855100	5855100
6	5855100	5855100	5855100	5855100	5855100
7	5855100	5855100	5855100	5855100	5855100
8	5855100	5855100	5855100	5855100	5855100
9	5855100	5855100	5855100	5855100	5855100
10	5855100	5855100	5855100	5855100	5855100
11	5855100	5855100	5855100	5855100	5855100
12	5855100	5855100	5855100	5855100	5855100
13	5855100	5855100	5855100	5855100	5855100
14	5855100	5855100	5855100	5855100	5855100
15	5730100	5730100	5730100	5730100	5730100
16	5605100	5605100	5605100	5605100	5605100
17	5480100	5480100	5480100	5480100	5480100
18	5355100	5355100	5355100	5355100	5355100
19	4980100	4980100	4980100	4980100	4980100
20	4605100	4605100	4605100	4605100	4605100
21	4230100	4230100	4230100	4230100	4230100
22	3855100	3855100	3855100	3855100	3855100
23	3975100	3975100	3815100	3647100	3543100
24	4095100	4095100	3775100	3439100	3231100
25	4215100	4215100	3735100	3231100	2919100
26	4335100	4335100	3695100	3023100	2607100
27	4455100	4455100	3655100	2815100	2295100
28	4555100	4555100	3605100	2635100	2025100
29	4655100	4655100	3555100	2455100	1755100
30	4755100	4755100	3505100	2275100	1485100
31	4855100	4855100	3455100	2095100	1215100
32	4980100	4905100	3430100	2035100	1130100
33	5105100	4955100	3405100	1975100	1045100
34	5230100	5005100	3380100	1915100	960100
35	5355100	5055100	3355100	1855100	875600
36	5455100	5055100	3355100	1855100	875600
37	5555100	5055100	3355100	1855100	875600
38	5655100	5055100	3355100	1855100	875600
39	5755100	5055100	3355100	1855100	875600
40	5775100	5215100	3855100	2655100	1871100
41	5795100	5375100	4355100	3455100	2867100
42	5815100	5535100	4855100	4255100	3863100
43	5835100	5695100	5355100	5055100	4859100
44	5855100	5855100	5855100	5855100	5855100
45	5855100	5855100	5855100	5855100	5855100
46	5855100	5855100	5855100	5855100	5855100
47	5855100	5855100	5855100	5855100	5855100
48	5855100	5855100	5855100	5855100	5855100
49	5855100	5855100	5855100	5855100	5855100
50	5855100	5855100	5855100	5855100	5855100
51	5855100	5855100	5855100	5855100	5855100
52	5855100	5855100	5855100	5855100	5855100
