week	LBFlood1	LBFlood2	LBFlood3	LBFlood4	LBFlood5	LBFlood6	LBFlood7	LBFlood8
1	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
2	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
3	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
4	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
5	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
6	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
7	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
8	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
9	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
10	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
11	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
12	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
13	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
14	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
15	5744400	5744400	5744400	5744400	5744400	5744400	5744400	5744400
16	5619400	5619400	5619400	5619400	5619400	5619400	5619400	5619400
17	5494400	5494400	5494400	5494400	5494400	5494400	5494400	5494400
18	5369400	5369400	5369400	5369400	5369400	5369400	5369400	5369400
19	5144400	5144400	5144400	4994400	4994400	4994400	4994400	4994400
20	4919400	4919400	4919400	4619400	4619400	4619400	4619400	4619400
21	4694400	4694400	4694400	4244400	4244400	4244400	4244400	4244400
22	4469400	4469400	4469400	3869400	3869400	3869400	3869400	3869400
23	4487400	4439400	4395400	3869400	3829400	3761400	3661400	3557400
24	4505400	4409400	4321400	3869400	3789400	3653400	3453400	3245400
25	4523400	4379400	4247400	3869400	3749400	3545400	3245400	2933400
26	4541400	4349400	4173400	3869400	3709400	3437400	3037400	2621400
27	4559400	4319400	4099400	3869400	3669400	3329400	2829400	2309400
28	4629400	4344400	4079400	3839400	3589400	3229400	2649400	2039400
29	4699400	4369400	4059400	3809400	3509400	3129400	2469400	1769400
30	4769400	4394400	4039400	3779400	3429400	3029400	2289400	1499400
31	4839400	4419400	4019400	3749400	3349400	2929400	2109400	1229400
32	4911900	4444400	3996900	3709400	3279400	2889400	2049400	1144400
33	4984400	4469400	3974400	3669400	3209400	2849400	1989400	1059400
34	5056900	4494400	3951900	3629400	3139400	2809400	1929400	974400
35	5129400	4519400	3929400	3589400	3069400	2769400	1869400	889400
36	5176900	4536900	3914400	3579400	3069400	2769400	1869400	889400
37	5224400	4554400	3899400	3569400	3069400	2769400	1869400	889400
38	5271900	4571900	3884400	3559400	3069400	2769400	1869400	889400
39	5319400	4589400	3869400	3549400	3069400	2769400	1869400	889400
40	5429400	4845400	4269400	4013400	3629400	3389400	2669400	1885400
41	5539400	5101400	4669400	4477400	4189400	4009400	3469400	2881400
42	5649400	5357400	5069400	4941400	4749400	4629400	4269400	3877400
43	5759400	5613400	5469400	5405400	5309400	5249400	5069400	4873400
44	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
45	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
46	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
47	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
48	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
49	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
50	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
51	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
52	5869400	5869400	5869400	5869400	5869400	5869400	5869400	5869400
