Elevation	Volume
2287	889900
2287.1	891500
2287.2	893000
2287.3	894600
2287.4	896200
2287.5	897800
2287.6	899300
2287.7	900900
2287.8	902500
2287.9	904100
2288	905600
2288.1	907200
2288.2	908800
2288.3	910400
2288.4	911900
2288.5	913500
2288.6	915100
2288.7	916700
2288.8	918200
2288.9	919800
2289	921400
2289.1	923000
2289.2	924500
2289.3	926100
2289.4	927700
2289.5	929300
2289.6	930800
2289.7	932400
2289.8	934000
2289.9	935600
2290	937100
2290.1	938700
2290.2	940300
2290.3	941900
2290.4	943400
2290.5	945000
2290.6	946600
2290.7	948200
2290.8	949700
2290.9	951300
2291	952900
2291.1	954500
2291.2	956000
2291.3	957600
2291.4	959200
2291.5	960800
2291.6	962300
2291.7	963900
2291.8	965500
2291.9	967100
2292	968600
2292.1	970200
2292.2	971800
2292.3	973400
2292.4	974900
2292.5	976500
2292.6	978100
2292.7	979700
2292.8	981200
2292.9	982800
2293	984400
2293.1	986000
2293.2	987500
2293.3	989100
2293.4	990700
2293.5	992300
2293.6	993800
2293.7	995400
2293.8	997000
2293.9	998500
2294	1000100
2294.1	1001700
2294.2	1003300
2294.3	1004800
2294.4	1006400
2294.5	1008000
2294.6	1009600
2294.7	1011100
2294.8	1012700
2294.9	1014300
2295	1015900
2295.1	1017400
2295.2	1019000
2295.3	1020600
2295.4	1022200
2295.5	1023700
2295.6	1025300
2295.7	1026900
2295.8	1028500
2295.9	1030000
2296	1031600
2296.1	1033200
2296.2	1034800
2296.3	1036300
2296.4	1037900
2296.5	1039500
2296.6	1041100
2296.7	1042600
2296.8	1044200
2296.9	1045800
2297	1047400
2297.1	1048900
2297.2	1050500
2297.3	1052100
2297.4	1053700
2297.5	1055200
2297.6	1056800
2297.7	1058400
2297.8	1060000
2297.9	1061500
2298	1063100
2298.1	1064700
2298.2	1066300
2298.3	1067800
2298.4	1069400
2298.5	1071000
2298.6	1072600
2298.7	1074100
2298.8	1075700
2298.9	1077300
2299	1078900
2299.1	1080400
2299.2	1082000
2299.3	1083600
2299.4	1085200
2299.5	1086700
2299.6	1088300
2299.7	1089900
2299.8	1091500
2299.9	1093000
2300	1094600
2300.1	1096400
2300.2	1098100
2300.3	1099900
2300.4	1101700
2300.5	1103400
2300.6	1105200
2300.7	1107000
2300.8	1108700
2300.9	1110500
2301	1112300
2301.1	1114000
2301.2	1115800
2301.3	1117600
2301.4	1119300
2301.5	1121100
2301.6	1122900
