week	B0644	B0645	B0646	B0647
1	1152940	1238210	0	1061640
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	1233	0	665023
11	0	0	0	1016520
12	0	0	444371	808663
13	1186560	613420	1354240	1567830
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	1162800
22	19860	0	602100	2515240
23	0	0	0	2058990
24	543847	0	0	1551320
25	1709870	600363	1028220	1848930
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	389746	0	283619	780272
34	1446630	0	1125910	1624800
35	1453450	0	463246	2150470
36	910952	0	712688	1496160
37	1603680	632404	1605800	1743490
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	418337	18644	422142
46	0	1290700	0	1820240
47	0	1304960	0	309770
48	930219	753007	302495	1036430
49	1845970	1155040	1466360	1719110
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	71065
58	0	1999640	0	1576180
59	0	1118630	0	955880
60	0	612069	0	627066
61	656073	902634	1087670	1703200
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	965789	0	0	0
70	0	609242	0	0
71	1277110	0	0	351773
72	1014660	123541	0	205331
73	1826140	823052	987608	1682690
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	398353	0
82	0	0	1518100	0
83	0	0	165256	0
84	123009	0	844735	0
85	1385700	638570	1584830	838223
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	1704250	0	1960070	0
94	3166260	965462	2843780	0
95	2486360	918012	1943230	0
96	1497290	592226	1354410	608527
97	1746340	1115910	1696240	1375770
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	0	0	0	0
103	0	0	0	0
104	0	0	0	0
105	0	0	722968	67508
106	0	0	114055	0
107	390455	0	0	0
108	1004180	0	208081	128872
109	1656010	567752	1590770	1566520
110	0	0	0	0
111	0	0	0	0
112	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	0
116	0	0	0	0
117	1322280	1105580	0	613689
118	1728370	1661680	0	1004230
119	1432860	702237	0	943507
120	1295550	589045	0	621675
121	1789650	831926	1464230	1583120
122	0	0	0	0
123	0	0	0	0
124	0	0	0	0
125	0	0	0	0
126	0	0	0	0
127	0	0	0	0
128	0	0	0	0
129	0	0	137418	0
130	0	301124	1364640	0
131	0	0	1807790	0
132	0	574769	1385550	911057
133	1503110	830578	1658370	1722440
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	0	0	0
141	0	0	338167	239294
142	0	0	2068880	1878900
143	0	49989	2446140	1323410
