week	MSFloodRuleCurve
1	4242400
2	4242400
3	4242400
4	4242400
5	4242400
6	4242400
7	4242400
8	4242400
9	4242400
10	4242400
11	4242400
12	4242400
13	4242400
14	4242400
15	4242400
16	4242400
17	4242400
18	4242400
19	4242400
20	4242400
21	4242400
22	4242400
23	4242400
24	4242400
25	4242400
26	4242400
27	4242400
28	4205550
29	4168700
30	4131850
31	4095000
32	4072500
33	4050000
34	4027500
35	4005000
36	3976880
37	3948750
38	3920630
39	3892500
40	3962400
41	4032300
42	4102200
43	4172100
44	4242000
45	4242100
46	4242200
47	4242300
48	4242400
49	4242400
50	4242400
51	4242400
52	4242400
