week	MSFlood1	MSFlood2	MSFlood3	MSFlood4	MSFlood5	MSFlood6
1	950000	950000	950000	950000	950000	950000
2	928571	928571	928571	928571	928571	928571
3	907143	907143	907143	907143	907143	907143
4	885714	885714	885714	885714	885714	885714
5	864286	864286	864286	864286	864286	864286
6	842857	842857	842857	842857	842857	842857
7	821429	821429	821429	821429	821429	821429
8	800000	800000	800000	800000	800000	800000
9	778571	778571	778571	778571	778571	778571
10	757143	757143	757143	757143	757143	757143
11	735714	735714	735714	735714	735714	735714
12	714286	714286	714286	714286	714286	714286
13	692857	692857	692857	692857	692857	692857
14	671429	671429	671429	671429	671429	671429
15	650000	650000	650000	650000	650000	650000
16	650000	650000	650000	650000	650000	650000
17	650000	650000	650000	650000	650000	650000
18	650000	650000	650000	650000	650000	650000
19	650000	650000	650000	650000	650000	650000
20	650000	650000	650000	650000	650000	650000
21	650000	650000	650000	650000	650000	650000
22	650000	650000	650000	650000	650000	650000
23	800000	800000	800000	800000	615000	220000
24	800000	800000	800000	785000	560000	175000
25	800000	800000	800000	760000	540000	125000
26	800000	800000	800000	730000	500000	75000
27	800000	800000	800000	720000	450000	20000
28	800000	800000	800000	690000	400000	0
29	800000	800000	800000	700000	340000	0
30	800000	800000	800000	650000	285000	0
31	800000	800000	800000	575000	225000	0
32	900000	900000	815000	525000	150000	0
33	900000	900000	775000	460000	100000	0
34	900000	900000	725000	390000	10000	0
35	900000	900000	675000	335000	0	0
36	950000	850000	620000	260000	0	0
37	950000	825000	560000	190000	0	0
38	950000	780000	500000	120000	0	0
39	950000	750000	435000	60000	0	0
40	932000	700000	375000	0	0	0
41	916000	675000	300000	0	0	0
42	900000	650000	225000	0	0	0
43	880000	590000	200000	0	0	0
44	860000	550000	140000	0	0	0
45	830000	500000	60000	0	0	0
46	800000	430000	150000	150000	150000	150000
47	780000	375000	400000	400000	400000	400000
48	760000	600000	600000	600000	600000	600000
49	740000	740000	740000	740000	740000	740000
50	950000	950000	950000	950000	950000	950000
51	950000	950000	950000	950000	950000	950000
52	950000	950000	950000	950000	950000	950000
