week	Low	High
1	200000	200000
2	200000	200000
3	200000	200000
4	200000	200000
5	200000	200000
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	220000	260000
39	220000	260000
40	220000	260000
41	220000	260000
42	220000	260000
43	220000	260000
44	220000	260000
45	220000	260000
46	220000	260000
47	220000	260000
48	220000	260000
49	200000	200000
50	200000	200000
51	200000	200000
52	200000	200000
