Elevation	Volume
291	210000
291.1	211400
291.2	212900
291.3	214300
291.4	215800
291.5	217200
291.6	218700
291.7	220100
291.8	221600
291.9	223000
292	224400
292.1	225900
292.2	227300
292.3	228800
292.4	230200
292.5	231700
292.6	233100
292.7	234600
292.8	236000
292.9	237400
293	238900
293.1	240300
293.2	241800
293.3	243200
293.4	244700
293.5	246100
293.6	247600
293.7	249000
293.8	250400
293.9	251900
294	253300
294.1	254800
294.2	256200
294.3	257700
294.4	259100
294.5	260600
294.6	262000
294.7	263400
294.8	264900
294.9	266300
295	267800
295.1	269200
295.2	270700
295.3	272100
295.4	273600
295.5	275000
295.6	276400
295.7	277900
295.8	279300
295.9	280800
296	282200
296.1	283700
296.2	285100
296.3	286600
296.4	288000
296.5	289400
296.6	290900
296.7	292300
296.8	293800
296.9	295200
297	296700
297.1	298100
297.2	299600
297.3	301000
297.4	302400
297.5	303900
297.6	305300
297.7	306800
297.8	308200
297.9	309700
298	311100
298.1	312600
298.2	314000
298.3	315400
298.4	316900
298.5	318300
298.6	319800
298.7	321200
298.8	322700
298.9	324100
299	325600
299.1	327000
299.2	328400
299.3	329900
299.4	331300
299.5	332800
299.6	334200
299.7	335700
299.8	337100
299.9	338600
300	340000
300.1	341800
300.2	343500
300.3	345200
300.4	347000
300.5	348800
300.6	350500
300.7	352300
300.8	354000
300.9	355700
301	357500
301.1	359300
301.2	361000
301.3	362700
301.4	364500
301.5	366300
301.6	368000
301.7	369800
301.8	371500
301.9	373200
302	375000
302.1	376800
302.2	378500
302.3	380200
302.4	382000
302.5	383800
302.6	385500
302.7	387300
302.8	389000
302.9	390700
303	392500
303.1	394300
303.2	396000
303.3	397700
303.4	399500
303.5	401300
303.6	403000
303.7	404800
303.8	406500
303.9	408200
304	410000
304.1	411800
304.2	413500
304.3	415200
304.4	417000
304.5	418800
304.6	420500
304.7	422300
304.8	424000
304.9	425700
305	427500
305.1	429300
305.2	431000
305.3	432700
305.4	434500
305.5	436300
305.6	438000
305.7	439800
305.8	441500
305.9	443200
306	445000
306.1	446800
306.2	448500
306.3	450200
306.4	452000
306.5	453800
306.6	455500
306.7	457300
306.8	459000
306.9	460700
307	462500
307.1	464300
307.2	466000
307.3	467700
307.4	469500
307.5	471300
307.6	473000
307.7	474800
307.8	476500
307.9	478200
308	480000
308.1	481800
308.2	483500
308.3	485200
308.4	487000
308.5	488800
308.6	490500
308.7	492300
308.8	494000
308.9	495700
309	497500
309.1	499300
309.2	501000
309.3	502700
309.4	504500
309.5	506300
309.6	508000
309.7	509800
309.8	511500
309.9	513200
310	515000
310.1	517200
310.2	519400
310.3	521600
310.4	523800
310.5	526000
310.6	528200
310.7	530400
310.8	532600
310.9	534800
311	537000
311.1	539200
311.2	541400
311.3	543600
311.4	545800
311.5	548000
311.6	550200
311.7	552400
311.8	554600
311.9	556800
312	559000
312.1	561200
312.2	563400
312.3	565600
312.4	567800
312.5	570000
312.6	572200
312.7	574400
312.8	576600
312.9	578800
313	581000
313.1	583200
313.2	585400
313.3	587600
313.4	589800
313.5	592000
313.6	594200
313.7	596400
313.8	598600
313.9	600800
314	603000
314.1	605200
314.2	607400
314.3	609600
314.4	611800
314.5	614000
314.6	616200
314.7	618400
314.8	620600
314.9	622800
315	625000
315.1	627200
