time	ModMcNaryFlowData
1	7526850
2	4639690
3	4583950
4	4131790
5	3401320
6	2954560
7	2855270
8	4703630
9	5660200
10	16454500
11	22107100
12	10234200
13	6569170
14	4076450
15	3167490
16	2612020
17	3426710
18	2175570
19	4612320
20	4325560
21	11439900
22	15350700
23	17689500
24	11737400
25	7140080
26	4628200
27	3676050
28	3179260
29	2777500
30	2883820
31	2940850
32	4725450
33	7751910
34	17780300
35	15665900
36	9475680
37	5749960
38	4603270
39	3603610
40	3746670
41	3256730
42	3272180
43	3080250
44	9457320
45	14601100
46	29276100
47	28021000
48	14031300
49	8080660
50	4821530
51	4163320
52	5792820
53	5256230
54	4784720
55	3224340
56	5365110
57	9991540
58	21785900
59	39183100
60	20240900
61	9832790
62	5970780
63	6144730
64	8712730
65	12756500
66	11229400
67	7234960
68	10092100
69	22398000
70	26344200
71	18598800
72	10674900
73	6935340
74	4497380
75	4093060
76	6304120
77	4801590
78	4812280
79	5218060
80	5569910
81	9040790
82	21628100
83	25192300
84	16439300
85	8240670
86	5068170
87	3801740
88	3367040
89	3070380
90	3375780
91	2447010
92	5230380
93	15324800
94	28093100
95	20909800
96	10214400
97	6630300
98	4367570
99	3358670
100	2767430
101	2850240
102	2039450
103	2504470
104	3727670
105	6571740
106	17979700
107	20654100
108	11881600
109	6304280
110	4634450
111	3990670
112	5379590
113	5180430
114	5251600
115	4044610
116	7586990
117	15058500
118	27347300
119	28914800
120	14302300
121	6263640
122	5310230
123	4405500
124	3869340
125	3816930
126	3792240
127	3057320
128	5948800
129	12393400
130	24073300
131	16117700
132	12469300
133	6982390
134	4495330
135	4345760
136	4175010
137	4589520
138	3591590
139	4448850
140	8005760
141	12675200
142	21404000
143	17094500
144	10119200
145	6195260
146	5478930
147	5464600
148	4402710
149	4407940
150	4153090
151	3778520
152	6106990
153	9849450
154	16395000
155	15998700
156	9921170
157	6421600
158	6344170
159	7096850
160	6510140
161	8943870
162	4976950
163	4694830
164	5097700
165	12485100
166	20071200
167	23074700
168	15870900
169	8111770
170	4794280
171	4152960
172	4662950
173	5085440
174	5185040
175	5338580
176	6974450
177	23159700
178	21705300
179	28180500
180	21591800
181	8875660
182	4799270
183	4592520
184	3978140
185	3751740
186	3147800
187	2962750
188	3658490
189	6457290
190	14913600
191	16782500
192	8697850
193	6184940
194	4783360
195	4329020
196	4102900
197	3177560
198	4158960
199	4285190
200	4888640
201	6313940
202	22439200
203	24447900
204	12273700
205	6167320
206	4493720
207	4256640
208	4817280
209	4803230
210	5497650
211	4077080
212	7648430
213	15375600
214	32176800
215	27107700
216	14982000
217	7578960
218	5555420
219	4731990
220	5291390
221	8277840
222	5194600
223	6050750
224	8059230
225	13033300
226	31435500
227	24700900
228	13988200
229	7070080
230	5293810
231	7837980
232	7010580
233	5902360
234	6062780
235	5012540
236	5594720
237	11865200
238	36472600
239	44878800
240	14901500
241	9696920
242	5878290
243	5109030
244	4652810
245	3945730
246	3243390
247	4909790
248	8236580
249	14996700
250	34956900
251	20484800
252	9824220
253	6600850
254	4543410
255	4050970
256	5226370
257	5620960
258	4500760
259	5815420
260	9399630
261	12679900
262	23330300
263	39503300
264	24336800
265	9598920
266	5800810
267	6355520
268	7738400
269	8494930
270	7554480
271	9501560
272	7641800
273	16078900
274	33032100
275	25391400
276	18970600
277	8453130
278	5745800
279	7427940
