week	MI1931Refill
1	13176890
2	13176890
3	13176890
4	13754972
5	14333054
6	14631765
7	14930475
8	15229186
9	15527896
10	15598746
11	15669595
12	15740445
13	15811294
14	15882144
15	15914524
16	15946904
17	15979284
18	16011665
19	16019846
20	16028028
21	16036210
22	16044392
23	16042329
24	16040266
25	16038203
26	16036141
27	16034078
28	16007946
29	15981813
30	15955681
31	15929549
32	15932921
33	15936293
34	15939665
35	15943036
36	15902772
37	15862508
38	15860326
39	15858144
40	15937562
41	16016980
42	16096398
43	16175816
44	16255235
45	16999135
46	17743035
47	18486935
48	19230835
49	19441877
50	19652918
51	19863959
52	20075000





