week	MI1931Refill
1	13485915
2	13485915
3	13485915
4	13860889
5	14235864
6	14521186
7	14806509
8	15091831
9	15377153
10	15447963
11	15518772
12	15589582
13	15660392
14	15731202
15	15763533
16	15795863
17	15828194
18	15860524
19	15868458
20	15876392
21	15884326
22	15892260
23	15890395
24	15888531
25	15886666
26	15884802
27	15882937
28	15848772
29	15814607
30	15780442
31	15746276
32	15720640
33	15695004
34	15669367
35	15643731
36	15631136
37	15618541
38	15605053
39	15591566
40	15810223
41	16028881
42	16247539
43	16466196
44	16684854
45	17264424
46	17843994
47	18423563
48	19003133
49	19271100
50	19539067
51	19807033
52	20075000




