week	target
1	15000
2	15000
3	15000
4	15000
5	15000
6	10000
7	10000
8	10000
9	10000
10	10000
11	10000
12	10000
13	10000
14	10000
15	10000
16	10000
17	10000
18	10000
19	15000
20	15000
21	15000
22	15000
23	15000
24	15000
25	15000
26	15000
27	15000
28	15000
29	15000
30	15000
31	15000
32	15000
33	15000
34	15000
35	15000
36	12000
37	12000
38	10000
39	10000
40	8000
41	8000
42	8000
43	8000
44	8000
45	8000
46	8000
47	8000
48	8000
49	10000
50	10000
51	10000
52	10000
