week	MIAssuredReleasedMin
1	10000
2	10000
3	10000
4	10000
5	10000
6	10000
7	10000
8	10000
9	10000
10	10000
11	10000
12	10000
13	10000
14	10000
15	10000
16	10000
17	10000
18	10000
19	20000
20	20000
21	20000
22	20000
23	20000
24	20000
25	20000
26	20000
27	20000
28	15000
29	15000
30	15000
31	15000
32	15000
33	15000
34	15000
35	15000
36	12500
37	12500
38	12500
39	12500
40	10000
41	10000
42	10000
43	10000
44	10000
45	10000
46	10000
47	10000
48	10000
49	10000
50	10000
51	10000
52	10000
