week	CRC1	CRC2	CRC3	CRC4
1	19553612	19088091	17742969	17104858
2	19814306	19465017	18496621	17104858
3	20075000	19841942	19250273	17147597
4	20073116	19853447	19367298	17029085
5	20071231	19864951	19484323	16910573
6	20040487	19792951	19461067	16735532
7	20009744	19720951	19437811	16560491
8	19979000	19648951	19414554	16385449
9	19948256	19576951	19391298	16210408
10	19891132	19380310	19216515	16095922
11	19834008	19183669	19041731	15981436
12	19776885	18987027	18866948	15866951
13	19719761	18790386	18692164	15752465
14	19662637	18593745	18517381	15637979
15	19505348	18315514	18252241	15365004
16	19348059	18037283	17987101	15092029
17	19190769	17759051	17721960	14819054
18	19033480	17480820	17456820	14546079
19	18738836	17215085	17137234	14253567
20	18444192	16949350	16817647	13961055
21	18149547	16683614	16498061	13668542
22	17854903	16417879	16178474	13376030
23	17566070	16045820	15867625	13326919
24	17277237	15673761	15556776	13277809
25	16988405	15301701	15245926	13228698
26	16699572	14929642	14935077	13179588
27	16410739	14557583	14624228	13130477
28	16085400	14377137	14389435	13116593
29	15760062	14196691	14154642	13102709
30	15434723	14016245	13919848	13088824
31	15109384	13835799	13685055	13074940
32	14976938	13745750	13603187	8032200
33	14844492	13655700	13521320	8032200
34	14712046	13565651	13439452	8032200
35	14579600	13475601	13357584	8032200
36	14248559	13343601	13244527	8032200
37	13917518	13211601	13131469	8032200
38	13708758	13289155	13104494	8032200
39	13499997	13366708	13077518	8032200
40	13630113	13504440	13192083	8032200
41	13760228	13642172	13306648	8032200
42	13890344	13779905	13421214	8032200
43	14020459	13917637	13535779	8032200
44	14150575	14055369	13650344	8032200
45	14945054	14569683	14095484	8032200
46	15739533	15083996	14540625	8032200
47	16534011	15598310	14985765	8032200
48	17328490	16112623	15430905	8032200
49	17819597	16762259	15820508	8032200
50	18310704	17411895	16210111	8032200
51	18801811	18061530	16599714	8032200
52	19292918	18711166	16989317	8032200

