Week	MIFlood1	MIFlood2	MIFlood3	MIFlood4	MIFlood6	MIFlood5	MIFlood7	MIFlood8	MIFlood9	MIFlood10	MIFlood11	MIFlood12
1	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
2	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
3	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
4	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
5	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
6	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
7	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
8	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
9	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
10	20012213	20012213	20012213	20012213	20012213	20012213	20012213	20012213	20012213	20012213	20012213	20012213
11	19972213	19972213	19972213	19972213	19972213	19972213	19972213	19972213	19972213	19972213	19972213	19972213
12	19932213	19932213	19932213	19932213	19932213	19932213	19932213	19932213	19932213	19932213	19932213	19932213
13	19892213	19892213	19892213	19892213	19892213	19892213	19892213	19892213	19892213	19892213	19892213	19892213
14	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213
15	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213
16	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213
17	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213
18	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213	19852213
19	19804713	19804713	19804713	19804713	19804713	19652213	19652213	19652213	19652213	19271013	19177213	19114713
20	19757213	19757213	19757213	19757213	19757213	19452213	19452213	19452213	19452213	18689713	18502213	18377213
21	19709713	19709713	19709713	19709713	19709713	19252213	19252213	19252213	19252213	18108513	17827213	17639713
22	19662213	19662213	19662213	19662213	19662213	19052213	19052213	19052213	19052213	17527213	17152213	16902213
23	19662213	19612213	19546913	19481613	19416213	18882213	18785613	18685613	18585613	17062213	16612213	16312213
24	19662213	19562213	19431613	19300913	19170213	18712213	18518913	18318913	18118913	16597213	16072213	15722213
25	19662213	19512213	19316213	19120213	18924213	18542213	18252213	17952213	17652213	16132213	15532213	15132213
26	19662213	19462213	19200913	18939613	18678213	18372213	17985613	17585613	17185613	15667213	14992213	14542213
27	19662213	19412213	19085613	18758913	18432213	18202213	17718913	17218913	16718913	15202213	14452213	13952213
28	19662213	19349713	18941413	18533113	18124713	17996013	17385613	16760613	16135613	14621013	13777213	13214713
29	19662213	19287213	18797213	18307213	17817213	17789713	17052213	16302213	15552213	14039713	13102213	12477213
30	19662213	19224713	18653113	18081413	17509713	17583513	16718913	15843913	14968913	13458513	12427213	11739713
31	19662213	19162213	18508913	17855613	17202213	17377213	16385613	15385613	14385613	12877213	11752213	11002213
32	19662213	19099713	18364713	17629713	16894713	17171013	16052213	14927213	13802213	12296013	11077213	10264713
33	19662213	19037213	18220613	17403913	16587213	16964713	15718913	14468913	13218913	11714713	10402213	9527213
34	19662213	18974713	18076413	17178113	16279713	16758513	15385613	14010613	12635613	11133513	9727213		8789713
35	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
36	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
37	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
38	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
39	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
40	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
41	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
42	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
43	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
44	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
45	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
46	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
47	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
48	19662213	18912213	17932213	16952213	15972213	16552213	15052213	13552213	12052213	10552213	9052213		8052213
49	19759713	19197213	18462213	17727213	16992213	17427213	16302213	15177213	14052213	12927213	11802213	11052213
50	19857213	19482213	18992213	18502213	18012213	18302213	17552213	16802213	16052213	15302213	14552213	14052213
51	19954713	19767213	19522213	19277213	19032213	19177213	18802213	18427213	18052213	17677213	17302213	17052213
52	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213	20052213
