Week	MIFlood1	MIFlood2	MIFlood3	MIFlood4	MIFlood5	MIFlood6	MIFlood7	MIFlood8	MIFlood9	MIFlood10	MIFlood11	MIFlood12
1	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
2	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
3	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
4	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
5	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
6	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
7	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
8	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
9	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
10	20035000	20035000	20035000	20035000	20035000	20035000	20035000	20035000	20035000	20035000	20035000	20035000
11	19995000	19995000	19995000	19995000	19995000	19995000	19995000	19995000	19995000	19995000	19995000	19995000
12	19955000	19955000	19955000	19955000	19955000	19955000	19955000	19955000	19955000	19955000	19955000	19955000
13	19915000	19915000	19915000	19915000	19915000	19915000	19915000	19915000	19915000	19915000	19915000	19915000
14	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000
15	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000
16	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000
17	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000
18	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000	19875000
19	19827500	19827500	19827500	19827500	19827500	19675000	19675000	19675000	19675000	19587500	19262500	19112500
20	19780000	19780000	19780000	19780000	19780000	19475000	19475000	19475000	19475000	19300000	18650000	18350000
21	19732500	19732500	19732500	19732500	19732500	19275000	19275000	19275000	19275000	19012500	18037500	17587500
22	19685000	19685000	19685000	19685000	19685000	19075000	19075000	19075000	19075000	18725000	17425000	16825000
23	19685000	19627308	19551923	19476538	19401154	18882692	18767308	18651923	18536538	18098077	16782692	16151923
24	19685000	19569615	19418846	19268077	19117308	18690385	18459615	18228846	17998077	17471154	16140385	15478846
25	19685000	19511923	19285769	19059615	18833462	18498077	18151923	17805769	17459615	16844231	15498077	14805769
26	19685000	19454231	19152692	18851154	18549615	18305769	17844231	17382692	16921154	16217308	14855769	14132692
27	19685000	19396538	19019615	18642692	18265769	18113462	17536538	16959615	16382692	15590385	14213462	13459615
28	19685000	19338846	18886538	18434231	17981923	17921154	17228846	16536538	15844231	14963462	13571154	12786538
29	19685000	19281154	18753462	18225769	17698077	17728846	16921154	16113462	15305769	14336538	12928846	12113462
30	19685000	19223462	18620385	18017308	17414231	17536538	16613462	15690385	14767308	13709615	12286538	11440385
31	19685000	19165769	18487308	17808846	17130385	17344231	16305769	15267308	14228846	13082692	11644231	10767308
32	19685000	19108077	18354231	17600385	16846538	17151923	15998077	14844231	13690385	12455769	11001923	10094231
33	19685000	19050385	18221154	17391923	16562692	16959615	15690385	14421154	13151923	11828846	10359615	9421154
34	19685000	18992692	18088077	17183462	16278846	16767308	15382692	13998077	12613462	11201923	9717308	8748077
35	19685000	18935000	17955000	16975000	15995000	16575000	15075000	13575000	12075000	10575000	9075000	8075000
36	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
37	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
38	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
39	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
40	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
41	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
42	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
43	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
44	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
45	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
46	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
47	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
48	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
49	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
50	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
51	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000
52	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000	20075000

