week	MIMaxFloodOutflow
1	2000960000
2	4000720000
3	6000480000
4	8000240000
5	10000000000
6	10000000000
7	10000000000
8	10000000000
9	10000000000
10	10000000000
11	10000000000
12	10000000000
13	10000000000
14	10000000000
15	10000000000
16	10000000000
17	10000000000
18	10000000000
19	10000000000
20	10000000000
21	10000000000
22	10000000000
23	10000000000
24	10000000000
25	10000000000
26	10000000000
27	10000000000
28	10000000000
29	10000000000
30	10000000000
31	10000000000
32	10000000000
33	10000000000
34	10000000000
35	10000000000
36	10000000000
37	10000000000
38	10000000000
39	10000000000
40	8000240000
41	6000480000
42	4000720000
43	2000960000
44	1200000
45	1200000
46	1200000
47	1200000
48	1200000
49	1200000
50	1200000
51	1200000
52	1200000
