Elevation	Volume
2319	8000000
2319.1	8000000
2319.2	8000000
2319.3	8000000
2319.4	8000000
2319.5	8005400
2319.6	8010700
2319.7	8016100
2319.8	8021400
2319.9	8026800
2320	8032200
2320.1	8037500
2320.2	8042900
2320.3	8048200
2320.4	8053600
2320.5	8059000
2320.6	8064300
2320.7	8069700
2320.8	8075000
2320.9	8080400
2321	8085800
2321.1	8091100
2321.2	8096500
2321.3	8101800
2321.4	8107200
2321.5	8112600
2321.6	8117900
2321.7	8123300
2321.8	8128600
2321.9	8134000
2322	8139400
2322.1	8144700
2322.2	8150100
2322.3	8155400
2322.4	8160800
2322.5	8166100
2322.6	8171500
2322.7	8176900
2322.8	8182200
2322.9	8187600
2323	8192900
2323.1	8198300
2323.2	8203700
2323.3	8209000
2323.4	8214400
2323.5	8219700
2323.6	8225100
2323.7	8230500
2323.8	8235800
2323.9	8241200
2324	8246500
2324.1	8251900
2324.2	8257300
2324.3	8262600
2324.4	8268000
2324.5	8273300
2324.6	8278700
2324.7	8284100
2324.8	8289400
2324.9	8294800
2325	8300100
2325.1	8305500
2325.2	8310900
2325.3	8316200
2325.4	8321600
2325.5	8326900
2325.6	8332300
2325.7	8337600
2325.8	8343000
2325.9	8348400
2326	8353700
2326.1	8359100
2326.2	8364400
2326.3	8369800
2326.4	8375200
2326.5	8380500
2326.6	8385900
2326.7	8391200
2326.8	8396600
2326.9	8402000
2327	8407300
2327.1	8412700
2327.2	8418000
2327.3	8423400
2327.4	8428800
2327.5	8434100
2327.6	8439500
2327.7	8444800
2327.8	8450200
2327.9	8455600
2328	8460900
2328.1	8466300
2328.2	8471600
2328.3	8477000
2328.4	8482400
2328.5	8487700
2328.6	8493100
2328.7	8498400
2328.8	8503800
2328.9	8509100
2329	8514500
2329.1	8519900
2329.2	8525200
2329.3	8530600
2329.4	8535900
2329.5	8541300
2329.6	8546700
2329.7	8552000
2329.8	8557400
2329.9	8562700
2330	8568100
2330.1	8573500
2330.2	8578800
2330.3	8584200
2330.4	8589500
2330.5	8594900
2330.6	8600300
2330.7	8605600
2330.8	8611000
2330.9	8616300
2331	8621700
2331.1	8627100
2331.2	8632400
2331.3	8637800
2331.4	8643100
2331.5	8648500
2331.6	8653900
2331.7	8659200
2331.8	8664600
2331.9	8669900
2332	8675300
2332.1	8680700
2332.2	8686000
2332.3	8691400
2332.4	8696700
2332.5	8702100
2332.6	8707500
2332.7	8712800
2332.8	8718200
2332.9	8723500
2333	8728900
2333.1	8734300
2333.2	8739600
2333.3	8745000
2333.4	8750300
2333.5	8755700
2333.6	8761100
2333.7	8766400
2333.8	8771800
2333.9	8777100
2334	8782500
2334.1	8787900
2334.2	8793200
2334.3	8798600
2334.4	8803900
2334.5	8809300
2334.6	8814600
2334.7	8820000
2334.8	8825400
2334.9	8830700
2335	8836100
2335.1	8841400
2335.2	8846800
2335.3	8852200
2335.4	8857500
2335.5	8862900
2335.6	8868200
2335.7	8873600
2335.8	8879000
2335.9	8884300
2336	8889700
2336.1	8895000
2336.2	8900400
2336.3	8905800
2336.4	8911100
2336.5	8916500
2336.6	8921800
2336.7	8927200
2336.8	8932600
2336.9	8937900
2337	8943300
2337.1	8948600
2337.2	8954000
2337.3	8959400
2337.4	8964700
2337.5	8970100
2337.6	8975400
2337.7	8980800
2337.8	8986100
2337.9	8991500
2338	8996900
2338.1	9002200
2338.2	9007600
2338.3	9012900
2338.4	9018300
2338.5	9023700
2338.6	9029000
2338.7	9034400
2338.8	9039700
2338.9	9045100
2339	9050500
2339.1	9055800
2339.2	9061200
2339.3	9066500
2339.4	9071900
2339.5	9077300
2339.6	9082600
2339.7	9088000
2339.8	9093300
2339.9	9098700
2340	9104100
2340.1	9109400
2340.2	9114800
2340.3	9120100
2340.4	9125500
2340.5	9130900
2340.6	9136200
2340.7	9141600
2340.8	9146900
2340.9	9152300
2341	9157600
2341.1	9163000
2341.2	9168400
2341.3	9173700
2341.4	9179100
2341.5	9184400
2341.6	9189800
2341.7	9195200
2341.8	9200500
2341.9	9205900
2342	9211200
2342.1	9216600
2342.2	9222000
2342.3	9227300
2342.4	9232700
2342.5	9238000
2342.6	9243400
2342.7	9248800
2342.8	9254100
2342.9	9259500
2343	9264800
2343.1	9270200
2343.2	9275600
2343.3	9280900
2343.4	9286300
2343.5	9291600
2343.6	9297000
2343.7	9302400
2343.8	9307700
2343.9	9313100
2344	9318400
2344.1	9323800
2344.2	9329100
2344.3	9334500
2344.4	9339900
2344.5	9345200
2344.6	9350600
2344.7	9355900
2344.8	9361300
2344.9	9366700
2345	9372000
2345.1	9377400
2345.2	9382700
2345.3	9388100
2345.4	9393500
2345.5	9398800
2345.6	9404200
2345.7	9409500
2345.8	9414900
2345.9	9420300
2346	9425600
2346.1	9431000
2346.2	9436300
2346.3	9441700
2346.4	9447100
2346.5	9452400
2346.6	9457800
2346.7	9463100
2346.8	9468500
2346.9	9473900
2347	9479200
2347.1	9484600
2347.2	9489900
2347.3	9495300
2347.4	9500600
2347.5	9506000
2347.6	9511400
2347.7	9516700
2347.8	9522100
2347.9	9527400
2348	9532800
2348.1	9538200
2348.2	9543500
2348.3	9548900
2348.4	9554200
2348.5	9559600
2348.6	9565000
2348.7	9570300
2348.8	9575700
2348.9	9581000
2349	9586400
2349.1	9591800
2349.2	9597100
2349.3	9602500
2349.4	9607800
2349.5	9613200
2349.6	9618600
2349.7	9623900
2349.8	9629300
2349.9	9634600
2350	9640000
2350.1	9646300
2350.2	9652500
2350.3	9658800
2350.4	9665000
2350.5	9671300
2350.6	9677600
2350.7	9683800
2350.8	9690100
2350.9	9696300
2351	9702600
2351.1	9708900
2351.2	9715100
2351.3	9721400
2351.4	9727600
2351.5	9733900
2351.6	9740200
2351.7	9746400
2351.8	9752700
2351.9	9758900
2352	9765200
2352.1	9771500
2352.2	9777700
2352.3	9784000
2352.4	9790200
2352.5	9796500
2352.6	9802800
2352.7	9809000
2352.8	9815300
2352.9	9821500
2353	9827800
2353.1	9834100
2353.2	9840300
2353.3	9846600
2353.4	9852800
2353.5	9859100
2353.6	9865400
2353.7	9871600
2353.8	9877900
2353.9	9884100
2354	9890400
2354.1	9896700
2354.2	9902900
