week	OWYFlood1	OWYFlood2	OWYFlood3	OWYFlood4	OWYFlood5
1	1120000	1120000	1120000	1120000	1120000
2	1120000	1120000	1120000	1120000	1120000
3	1120000	1120000	1120000	1120000	1120000
4	1120000	1120000	1120000	1120000	1120000
5	1120000	1120000	1120000	1120000	1120000
6	1120000	1120000	1120000	1120000	1120000
7	1120000	1120000	1120000	1120000	1120000
8	1120000	1120000	1120000	1120000	1120000
9	1050000	1050000	1050000	1050000	1050000
10	1050000	1050000	1050000	1050000	1050000
11	1050000	1050000	1050000	1050000	1050000
12	1050000	1050000	1050000	1050000	1050000
13	1050000	1050000	1050000	1050000	1050000
14	1050000	1050000	1050000	1050000	1050000
15	1050000	1050000	1050000	1050000	1050000
16	1050000	1050000	1050000	1050000	1050000
17	1050000	1050000	1050000	1050000	1050000
18	1050000	1050000	1050000	1050000	1050000
19	1050000	1050000	1050000	1050000	1050000
20	1050000	1050000	1050000	1050000	1050000
21	1050000	1050000	1050000	1050000	1050000
22	1050000	1050000	1050000	1050000	1050000
23	1050000	1050000	1050000	1050000	1050000
24	1050000	1050000	1050000	1050000	930000
25	1050000	1050000	1050000	1045000	817500
26	1050000	1050000	1050000	980000	723750
27	1050000	1050000	1050000	925000	642500
28	1050000	1050000	1008000	861000	567500
29	1050000	1050000	967500	795000	505000
30	1050000	1047000	931500	740000	455000
31	1055000	1036250	898000	686250	415000
32	1070000	1028000	865000	636250	405000
33	1088000	1022000	835000	595000	405000
34	1105000	1017000	811500	565000	405000
35	1120000	1015000	792500	542500	405000
36	1120000	1015000	780000	528000	405000
37	1120000	1017000	772000	522000	405000
38	1120000	1022000	767500	522000	486250
39	1120000	1028000	772000	667500	667500
40	1120000	1032000	815000	815000	815000
41	1120000	1040000	965000	965000	965000
42	1120000	1115000	1115000	1115000	1115000
43	1120000	1120000	1120000	1120000	1120000
44	1120000	1120000	1120000	1120000	1120000
45	1120000	1120000	1120000	1120000	1120000
46	1120000	1120000	1120000	1120000	1120000
47	1120000	1120000	1120000	1120000	1120000
48	1120000	1120000	1120000	1120000	1120000
49	1120000	1120000	1120000	1120000	1120000
50	1120000	1120000	1120000	1120000	1120000
51	1120000	1120000	1120000	1120000	1120000
52	1120000	1120000	1120000	1120000	1120000
