Elevation	Volume
2295	265300
2295.1	265800
2295.2	266300
2295.3	266800
2295.4	267300
2295.5	267800
2295.6	268300
2295.7	268800
2295.8	269300
2295.9	269800
2296	270300
2296.1	270800
2296.2	271300
2296.3	271900
2296.4	272400
2296.5	272900
2296.6	273400
2296.7	273900
2296.8	274400
2296.9	274900
2297	275400
2297.1	275900
2297.2	276400
2297.3	276900
2297.4	277400
2297.5	277900
2297.6	278400
2297.7	278900
2297.8	279400
2297.9	279900
2298	280400
2298.1	280900
2298.2	281400
2298.3	281900
2298.4	282400
2298.5	282900
2298.6	283400
2298.7	283900
2298.8	284500
2298.9	285000
2299	285500
2299.1	286000
2299.2	286500
2299.3	287000
2299.4	287500
2299.5	288000
2299.6	288500
2299.7	289000
2299.8	289500
2299.9	290000
2300	290500
2300.1	291000
2300.2	291600
2300.3	292100
2300.4	292700
2300.5	293200
2300.6	293800
2300.7	294300
2300.8	294900
2300.9	295400
2301	296000
2301.1	296500
2301.2	297100
2301.3	297600
2301.4	298200
2301.5	298700
2301.6	299300
2301.7	299800
2301.8	300400
2301.9	300900
2302	301500
2302.1	302000
2302.2	302600
2302.3	303100
2302.4	303700
2302.5	304200
2302.6	304700
2302.7	305300
2302.8	305800
2302.9	306400
2303	306900
2303.1	307500
2303.2	308000
2303.3	308600
2303.4	309100
2303.5	309700
2303.6	310200
2303.7	310800
2303.8	311300
2303.9	311900
2304	312400
2304.1	313000
2304.2	313500
2304.3	314100
2304.4	314600
2304.5	315200
2304.6	315700
2304.7	316300
2304.8	316800
2304.9	317400
2305	317900
2305.1	318500
2305.2	319100
2305.3	319700
2305.4	320300
2305.5	320900
2305.6	321500
2305.7	322100
2305.8	322700
2305.9	323300
2306	323900
2306.1	324500
2306.2	325100
2306.3	325700
2306.4	326300
2306.5	326900
2306.6	327500
2306.7	328100
2306.8	328700
2306.9	329300
2307	329900
2307.1	330500
2307.2	331100
2307.3	331700
2307.4	332300
2307.5	332900
2307.6	333400
2307.7	334000
2307.8	334600
2307.9	335200
2308	335800
2308.1	336400
2308.2	337000
2308.3	337600
2308.4	338200
2308.5	338800
2308.6	339400
2308.7	340000
2308.8	340600
2308.9	341200
2309	341800
2309.1	342400
2309.2	343000
2309.3	343600
2309.4	344200
2309.5	344800
2309.6	345400
2309.7	346000
2309.8	346600
2309.9	347200
2310	347800
2310.1	348400
2310.2	349100
2310.3	349700
2310.4	350400
2310.5	351000
2310.6	351700
2310.7	352300
2310.8	353000
2310.9	353600
2311	354300
2311.1	354900
2311.2	355600
2311.3	356200
2311.4	356900
2311.5	357500
2311.6	358200
2311.7	358800
2311.8	359500
2311.9	360100
2312	360800
2312.1	361400
2312.2	362100
2312.3	362700
2312.4	363400
2312.5	364000
2312.6	364600
2312.7	365300
2312.8	365900
2312.9	366600
2313	367200
2313.1	367900
2313.2	368500
2313.3	369200
2313.4	369800
2313.5	370500
2313.6	371100
2313.7	371800
2313.8	372400
2313.9	373100
2314	373700
2314.1	374400
2314.2	375000
2314.3	375700
2314.4	376300
2314.5	377000
2314.6	377600
2314.7	378300
2314.8	378900
2314.9	379600
2315	380200
2315.1	380900
2315.2	381600
2315.3	382200
2315.4	382900
2315.5	383600
2315.6	384300
2315.7	385000
2315.8	385700
2315.9	386300
2316	387000
2316.1	387700
2316.2	388400
2316.3	389100
2316.4	389700
2316.5	390400
2316.6	391100
2316.7	391800
2316.8	392500
2316.9	393200
2317	393800
2317.1	394500
2317.2	395200
2317.3	395900
2317.4	396600
2317.5	397300
2317.6	397900
2317.7	398600
2317.8	399300
2317.9	400000
2318	400700
2318.1	401300
2318.2	402000
2318.3	402700
2318.4	403400
2318.5	404100
2318.6	404800
2318.7	405400
2318.8	406100
2318.9	406800
2319	407500
2319.1	408200
2319.2	408800
2319.3	409500
2319.4	410200
2319.5	410900
2319.6	411600
2319.7	412300
2319.8	412900
2319.9	413600
2320	414300
2320.1	415000
2320.2	415700
2320.3	416500
2320.4	417200
2320.5	417900
2320.6	418600
2320.7	419300
2320.8	420000
2320.9	420800
2321	421500
2321.1	422200
2321.2	422900
2321.3	423600
2321.4	424400
2321.5	425100
2321.6	425800
2321.7	426500
2321.8	427200
2321.9	427900
2322	428700
2322.1	429400
2322.2	430100
2322.3	430800
2322.4	431500
2322.5	432300
2322.6	433000
2322.7	433700
2322.8	434400
2322.9	435100
2323	435800
2323.1	436600
2323.2	437300
2323.3	438000
2323.4	438700
2323.5	439400
2323.6	440100
2323.7	440900
2323.8	441600
2323.9	442300
2324	443000
2324.1	443700
2324.2	444500
2324.3	445200
2324.4	445900
2324.5	446600
2324.6	447300
2324.7	448000
2324.8	448800
2324.9	449500
2325	450200
2325.1	451000
2325.2	451700
2325.3	452500
2325.4	453200
2325.5	454000
2325.6	454700
2325.7	455500
2325.8	456300
2325.9	457000
2326	457800
2326.1	458500
2326.2	459300
2326.3	460100
2326.4	460800
2326.5	461600
2326.6	462300
2326.7	463100
2326.8	463800
2326.9	464600
2327	465400
2327.1	466100
2327.2	466900
2327.3	467600
2327.4	468400
2327.5	469100
2327.6	469900
2327.7	470700
2327.8	471400
2327.9	472200
2328	472900
2328.1	473700
2328.2	474500
2328.3	475200
2328.4	476000
2328.5	476700
2328.6	477500
2328.7	478200
2328.8	479000
2328.9	479800
2329	480500
2329.1	481300
2329.2	482000
2329.3	482800
2329.4	483600
2329.5	484300
2329.6	485100
2329.7	485800
2329.8	486600
2329.9	487300
2330	488100
2330.1	488900
2330.2	489700
2330.3	490500
2330.4	491300
2330.5	492000
2330.6	492800
2330.7	493600
2330.8	494400
2330.9	495200
2331	496000
