Elevation	Volume
257	1989900
257.1	1994100
257.2	1998300
257.3	2002500
257.4	2006700
257.5	2010800
257.6	2015000
257.7	2019200
257.8	2023400
257.9	2027600
258	2031800
258.1	2036400
258.2	2041000
258.3	2045600
258.4	2050100
258.5	2054700
258.6	2059300
258.7	2063900
258.8	2068500
258.9	2073100
259	2077700
259.1	2082300
259.2	2086800
259.3	2091400
259.4	2096000
259.5	2100600
259.6	2105200
259.7	2109800
259.8	2114400
259.9	2118900
260	2123500
260.1	2128100
260.2	2132700
260.3	2137300
260.4	2141900
260.5	2146500
260.6	2151100
260.7	2155600
260.8	2160200
260.9	2164800
261	2169400
261.1	2174300
261.2	2179200
261.3	2184100
261.4	2189100
261.5	2194000
261.6	2198900
261.7	2203800
261.8	2208700
261.9	2213600
262	2218600
262.1	2223500
262.2	2228400
262.3	2233300
262.4	2238200
262.5	2243100
262.6	2248100
262.7	2253000
262.8	2257900
262.9	2262800
263	2267700
263.1	2272700
263.2	2277600
263.3	2282500
263.4	2287400
263.5	2292300
263.6	2297200
263.7	2302200
263.8	2307100
263.9	2312000
264	2316900
264.1	2322100
264.2	2327300
264.3	2332400
264.4	2337600
264.5	2342800
264.6	2348000
264.7	2353100
264.8	2358300
264.9	2363500
265	2368600
265.1	2373800
265.2	2379000
265.3	2384200
265.4	2389300
265.5	2394500
265.6	2399700
265.7	2404900
265.8	2410000
265.9	2415200
266	2420400
266.1	2425600
266.2	2430800
266.3	2435900
266.4	2441100
266.5	2446300
266.6	2451500
266.7	2456600
266.8	2461800
266.9	2467000
267	2472100
267.1	2477300
267.2	2482500
267.3	2487700
267.4	2492800
267.5	2498000
267.6	2503200
267.7	2508400
267.8	2513500
267.9	2518700
268	2523900
