Elevation	Volume
633	516800
633.1	517700
633.2	518700
633.3	519700
633.4	520700
633.5	521600
633.6	522600
633.7	523600
633.8	524500
633.9	525500
634	526500
634.1	527500
634.2	528500
634.3	529400
634.4	530400
634.5	531400
634.6	532300
634.7	533300
634.8	534300
634.9	535300
635	536300
635.1	537200
635.2	538200
635.3	539200
635.4	540200
635.5	541100
635.6	542100
635.7	543100
635.8	544000
635.9	545000
636	546000
636.1	547000
636.2	548000
636.3	548900
636.4	549900
636.5	550900
636.6	551800
636.7	552800
636.8	553800
636.9	554800
637	555800
637.1	556700
637.2	557700
637.3	558700
637.4	559700
637.5	560600
637.6	561600
637.7	562600
637.8	563500
637.9	564500
638	565500
